en,de
a,ein
ability,Fähigkeit
able,fähig
about,Über
above,über
accept,akzeptieren
according,gemäß
account,Konto
across,über
act,Handlung
action,Aktion
activity,Aktivität
actually,tatsächlich
add,hinzufügen
address,Adresse
administration,Verwaltung
admit,eingestehen
adult,Erwachsene
affect,beeinflussen
after,nach dem
again,nochmal
against,gegen
age,Alter
agency,Agentur
agent,Agent
ago,vor
agree,zustimmen
agreement,Zustimmung
ahead,voraus
air,Luft
all,alles
allow,ermöglichen
almost,fast
alone,allein
along,eine lange
already,bereits
also,ebenfalls
although,obwohl
always,immer
American,amerikanisch
among,unter
amount,Menge
analysis,Analyse
and,und
animal,Tier
another,Ein weiterer
answer,Antworten
any,irgendein
anyone,jemand
anything,etwas
appear,erscheinen
apply,sich bewerben
approach,Ansatz
area,Bereich
argue,streiten
arm,Arm
around,um
arrive,ankommen
art,Kunst
article,Artikel
artist,Künstler
as,wie
ask,Fragen
assume,annehmen
at,beim
attack,Attacke
attention,Beachtung
attorney,Rechtsanwalt
audience,Publikum
author,Autor
authority,Behörde
available,verfügbar
avoid,vermeiden
away,Weg
baby,Baby
back,zurück
bad,Schlecht
bag,Tasche
ball,Ball
bank,Bank
bar,Bar
base,Base
be,Sein
beat,schlagen
beautiful,wunderschönen
because,da
become,werden
bed,Bett
before,Vor
begin,Start
behavior,Verhalten
behind,hinter
believe,glauben
benefit,Vorteil
best,Beste
better,besser
between,zwischen
beyond,darüber hinaus
big,groß
bill,Rechnung
billion,Milliarde
bit,bisschen
black,schwarz
blood,Blut
blue,Blau
board,Tafel
body,Karosserie
book,Buch
born,geboren
both,beide
box,Box
boy,Junge
break,brechen
bring,bringen
brother,Bruder
budget,Budget
build,bauen
building,Gebäude
business,Geschäft
but,aber
buy,Kaufen
by,durch
call,Anruf
camera,Kamera
campaign,Kampagne
can,können
cancer,Krebs
candidate,Kandidat
capital,Hauptstadt
car,Auto
card,Karte
care,Pflege
career,Werdegang
carry,tragen
case,Fall
catch,Fang
cause,Ursache
cell,Zelle
center,Center
central,zentral
century,Jahrhundert
certain,sicher
certainly,bestimmt
chair,Stuhl
challenge,Herausforderung
chance,Chance
change,Veränderung
character,Charakter
charge,aufladen
check,prüfen
child,Kind
choice,Wahl
choose,wählen
church,Kirche
citizen,Bürger
city,Stadt
civil,bürgerlich
claim,Anspruch
class,Klasse
clear,klar
clearly,deutlich
close,schließen
coach,Trainer
cold,kalt
collection,Sammlung
college,Hochschule
color,Farbe
come,Kommen Sie
commercial,kommerziell
common,verbreitet
community,Gemeinschaft
company,Unternehmen
compare,vergleichen Sie
computer,Computer
concern,"Besorgnis, Sorge"
condition,Bedingung
conference,Konferenz
Congress,Kongress
consider,Erwägen
consumer,Verbraucher
contain,enthalten
continue,fortsetzen
control,Steuerung
cost,Kosten
could,könnte
country,Land
couple,Paar
course,Kurs
court,Gericht
cover,Abdeckung
create,erstellen
crime,Kriminalität
cultural,Kultur-
culture,Kultur
cup,Tasse
current,aktuell
customer,Kunde
cut,Schnitt
dark,dunkel
data,Daten
daughter,Tochter
day,Tag
dead,tot
deal,Deal
death,Tod
debate,Debatte
decade,Dekade
decide,entscheiden
decision,Entscheidung
deep,tief
defense,Verteidigung
degree,Grad
Democrat,Demokrat
democratic,demokratisch
describe,beschreiben
design,Design
despite,Trotz
detail,Detail
determine,bestimmen
develop,entwickeln
development,Entwicklung
die,sterben
difference,Unterschied
different,anders
difficult,schwer
dinner,Abendessen
direction,Richtung
director,Direktor
discover,entdecken
discuss,diskutieren
discussion,Diskussion
disease,Krankheit
do,tun
doctor,Arzt
dog,Hund
door,Tür
down,Nieder
draw,zeichnen
dream,Traum
drive,Fahrt
drop,fallen
drug,Droge
during,während
each,jeder
early,früh
east,Osten
easy,einfach
eat,Essen
economic,wirtschaftlich
economy,Wirtschaft
edge,Kante
education,Bildung
effect,bewirken
effort,Anstrengung
eight,acht
either,entweder
election,Wahl
else,sonst
employee,Mitarbeiter
end,Ende
energy,Energie
enjoy,genießen
enough,genug
enter,eingeben
entire,ganz
environment,Umgebung
environmental,Umwelt-
especially,insbesondere
establish,Gründen
even,sogar
evening,Abend
event,Veranstaltung
ever,je
every,jeden
everybody,jeder
everyone,jeder
everything,alles
evidence,Beweis
exactly,genau
example,Beispiel
executive,Exekutive
exist,existieren
expect,erwarten von
experience,Erfahrung
expert,Experte
explain,erklären
eye,Auge
face,Gesicht
fact,Tatsache
factor,Faktor
fail,Scheitern
fall,fallen
family,Familie
far,weit
fast,schnell
father,Vater
fear,Angst
federal,Bundes-
feel,Gefühl
feeling,Gefühl
few,wenige
field,Feld
fight,kämpfen
figure,Zahl
fill,füllen
film,Film
final,Finale
finally,endlich
financial,Finanz-
find,finden
fine,fein
finger,Finger
finish,Fertig
fire,Feuer
firm,Feste
first,zuerst
fish,Fisch
five,fünf
floor,Fußboden
fly,fliegen
focus,Fokus
follow,Folgen
food,Lebensmittel
foot,Fuß
for,zum
force,Macht
foreign,fremd
forget,vergessen
form,bilden
former,ehemalige
forward,nach vorne
four,vier
free,kostenlos
friend,Freund
from,von
front,Vorderseite
full,voll
fund,Fonds
future,Zukunft
game,Spiel
garden,Garten
gas,Gas
general,Allgemeines
generation,Generation
get,erhalten
girl,Mädchen
give,geben
glass,Glas
go,gehen
goal,Tor
good,gut
government,Regierung
great,großartig
green,Grün
ground,Boden
group,Gruppe
grow,wachsen
growth,Wachstum
guess,vermuten
gun,Gewehr
guy,Kerl
hair,Haar
half,Hälfte
hand,Hand
hang,hängen
happen,geschehen
happy,glücklich
hard,schwer
have,haben
he,er
head,Kopf
health,Gesundheit
hear,hören
heart,Herz
heat,Hitze
heavy,schwer
help,Hilfe
her,ihr
here,Hier
herself,Sie selber
high,hoch
him,ihm
himself,selbst
his,seine
history,Geschichte
hit,schlagen
hold,halt
home,Zuhause
hope,hoffen
hospital,Krankenhaus
hot,heiß
hotel,Hotel
hour,Stunde
house,Haus
how,Wie
however,jedoch
huge,enorm
human,Mensch
hundred,hundert
husband,Mann
I,ich
idea,Idee
identify,identifizieren
if,ob
image,Bild
imagine,vorstellen
impact,Auswirkung
important,wichtig
improve,verbessern
in,im
include,umfassen
including,einschließlich
increase,"erhöhen, ansteigen"
indeed,tatsächlich
indicate,zeigen
individual,Individuell
industry,Industrie
information,Information
inside,Innerhalb
instead,stattdessen
institution,Institution
interest,Interesse
interesting,interessant
international,International
interview,Interview
into,in
investment,Investition
involve,umfassen
issue,Problem
it,es
item,Artikel
its,es ist
itself,selbst
job,Job
join,Beitreten
just,gerade
keep,behalten
key,Schlüssel
kid,Kind
kill,töten
kind,nett
kitchen,Küche
know,kennt
knowledge,Wissen
land,Land
language,Sprache
large,groß
last,zuletzt
late,spät
later,später
laugh,Lachen
law,Gesetz
lawyer,Anwalt
lay,legen
lead,führen
leader,Führer
learn,lernen
least,am wenigsten
leave,verlassen
left,links
leg,Bein
legal,legal
less,Weniger
let,Lassen
letter,Brief
level,Niveau
lie,Lüge
life,Leben
light,Licht
like,mögen
likely,wahrscheinlich
line,Linie
list,Liste
listen,Hör mal zu
little,wenig
live,Leben
local,lokal
long,lange
look,aussehen
lose,verlieren
loss,Verlust
lot,Menge
love,Liebe
low,niedrig
machine,Maschine
magazine,Zeitschrift
main,Main
maintain,pflegen
major,Haupt
majority,Mehrheit
make,machen
man,Mann
manage,verwalten
management,Verwaltung
manager,Manager
many,viele
market,Markt
marriage,Ehe
material,Material
matter,Angelegenheit
may,kann
maybe,könnte sein
me,mir
mean,bedeuten
measure,messen
media,Medien
medical,medizinisch
meet,Treffen
meeting,Treffen
member,Mitglied
memory,Erinnerung
mention,erwähnen
message,Botschaft
method,Methode
middle,Mitte
might,könnte
military,Militär-
million,Million
mind,Verstand
minute,Minute
miss,Fräulein
mission,Mission
model,Modell-
modern,modern
moment,Moment
money,Geld
month,Monat
more,Mehr
morning,Morgen
most,die meisten
mother,Mutter
mouth,Mund
move,Bewegung
movement,Bewegung
movie,Film
Mr,Herr
Mrs,Frau
much,viel
music,Musik-
must,Muss
my,meine
myself,mich selber
name,Name
nation,Nation
national,National
natural,natürlich
nature,Natur
near,nahe
nearly,fast
necessary,notwendig
need,brauchen
network,Netzwerk
never,noch nie
new,Neu
news,Nachrichten
newspaper,Zeitung
next,Nächster
nice,nett
night,Nacht-
no,Nein
none,keiner
nor,Noch
north,Norden
not,nicht
note,Hinweis
nothing,nichts
notice,beachten
now,jetzt
n't,nicht
number,Nummer
occur,auftreten
of,von
off,aus
offer,Angebot
office,Büro
officer,Offizier
official,offiziell
often,häufig
oh,Oh
oil,Öl
ok,OK
old,alt
on,auf
once,Einmal
one,ein
only,nur
onto,auf zu
open,öffnen
operation,Operation
opportunity,Gelegenheit
option,Möglichkeit
or,oder
order,Auftrag
organization,Organisation
other,andere
others,Andere
our,unsere
out,aus
outside,draußen
over,Über
own,besitzen
owner,Inhaber
page,Seite
pain,Schmerzen
painting,Malerei
paper,Papier-
parent,Elternteil
part,Teil
participant,Teilnehmer
particular,besonders
particularly,insbesondere
partner,Partner
party,Party
pass,bestehen
past,Vergangenheit
patient,geduldig
pattern,Muster
pay,Zahlen
peace,Frieden
people,Menschen
per,pro
perform,ausführen
performance,Performance
perhaps,vielleicht
period,Zeitraum
person,Person
personal,persönlich
phone,Telefon
physical,physikalisch
pick,pflücken
picture,Bild
piece,Stück
place,Platz
plan,planen
plant,Pflanze
play,abspielen
player,Spieler
PM,PM
point,Punkt
police,Polizei
policy,Politik
political,politisch
politics,Politik
poor,Arm
popular,Beliebt
population,Population
position,Position
positive,positiv
possible,möglich
power,Leistung
practice,trainieren
prepare,bereiten
present,vorhanden
president,Präsident
pressure,Druck
pretty,ziemlich
prevent,verhindern
price,Preis
private,Privatgelände
probably,wahrscheinlich
problem,Problem
process,verarbeiten
produce,produzieren
product,Produkt
production,Produktion
professional,Professionel
professor,Professor
program,Programm
project,Projekt
property,Eigentum
protect,schützen
prove,beweisen
provide,zu Verfügung stellen
public,Öffentlichkeit
pull,ziehen
purpose,Zweck
push,drücken
put,stellen
quality,Qualität
question,Frage
quickly,schnell
quite,ziemlich
race,Rennen
radio,Radio
raise,erziehen
range,Angebot
rate,Bewertung
rather,lieber
reach,erreichen
read,lesen
ready,bereit
real,echt
reality,Wirklichkeit
realize,realisieren
really,Ja wirklich
reason,Grund
receive,erhalten
recent,kürzlich
recently,vor kurzem
recognize,erkenne
record,Aufzeichnung
red,rot
reduce,reduzieren
reflect,reflektieren
region,Region
relate,sich beziehen
relationship,Beziehung
religious,religiös
remain,bleiben übrig
remember,merken
remove,Löschen
report,Bericht
represent,vertreten
Republican,Republikanisch
require,benötigen
research,Forschung
resource,Ressource
respond,antworten
response,Antwort
responsibility,Verantwortung
rest,sich ausruhen
result,Ergebnis
return,Rückkehr
reveal,verraten
rich,Reich
right,Recht
rise,erhebt euch
risk,Risiko
road,Straße
rock,Rock
role,Rolle
room,Zimmer
rule,Regel
run,Lauf
safe,sicher
same,gleich
save,sparen
say,sagen
scene,Szene
school,Schule
science,Wissenschaft
scientist,Wissenschaftler
score,Ergebnis
sea,Meer
season,Jahreszeit
seat,Sitz
second,zweite
section,Sektion
security,Sicherheit
see,sehen
seek,suchen
seem,scheinen
sell,verkaufen
send,senden
senior,Senior
sense,Sinn
series,Serie
serious,ernst
serve,Dienen
service,Bedienung
set,einstellen
seven,Sieben
several,mehrere
sex,Sex
sexual,Sexual-
shake,Shake
share,Aktie
she,sie
shoot,schießen
short,kurz
shot,Schuss
should,sollte
shoulder,Schulter
show,Show
side,Seite
sign,Zeichen
significant,von Bedeutung
similar,ähnlich
simple,einfach
simply,einfach
since,schon seit
sing,singen
single,Single
sister,Schwester
sit,sitzen
site,Seite? ˅
situation,Situation
six,sechs
size,Größe
skill,Fertigkeit
skin,Haut
small,klein
smile,Lächeln
so,so
social,Sozial
society,Gesellschaft
soldier,Soldat
some,etwas
somebody,jemand
someone,jemand
something,etwas
sometimes,manchmal
son,Sohn
song,Lied
soon,bald
sort,Sortieren
sound,klingen
source,Quelle
south,Süden
southern,Süd-
space,Platz
speak,sprechen
special,Besondere
specific,Spezifisch
speech,Rede
spend,verbringen
sport,Sport
spring,Frühling
staff,Mitarbeiter
stage,Bühne
stand,Stand
standard,Standard
star,Star
start,Start
state,Zustand
statement,Aussage
station,Bahnhof
stay,bleibe
step,Schritt
still,immer noch
stock,Stock
stop,halt
store,Geschäft
story,Geschichte
strategy,Strategie
street,Straße
strong,stark
structure,Struktur
student,Student
study,Studie
stuff,Zeug
style,Stil
subject,Gegenstand
success,Erfolg
successful,erfolgreich
such,eine solche
suddenly,plötzlich
suffer,leiden
suggest,vorschlagen
summer,Sommer-
support,Unterstützung
sure,sicher
surface,Oberfläche
system,System
table,Tabelle
take,nehmen
talk,sich unterhalten
task,Aufgabe
tax,MwSt
teach,lehren
teacher,Lehrer
team,Mannschaft
technology,Technologie
television,Fernsehen
tell,sagen
ten,zehn
tend,neigen
term,Begriff
test,Prüfung
than,als
thank,danken
that,Das
the,das
their,ihr
them,Sie
themselves,sich
then,dann
theory,Theorie
there,Dort
these,diese
they,Sie
thing,Ding
think,denken
third,dritte
this,diese
those,jene
though,obwohl
thought,habe gedacht
thousand,tausend
threat,Drohung
three,drei
through,durch
throughout,während
throw,werfen
thus,somit
time,Zeit
to,zu
today,heute
together,zusammen
tonight,heute Abend
too,auch
top,oben
total,gesamt
tough,zäh
toward,zu
town,"Stadt, Dorf"
trade,Handel
traditional,traditionell
training,Ausbildung
travel,Reise
treat,behandeln
treatment,Behandlung
tree,Baum
trial,Versuch
trip,Ausflug
trouble,Ärger
TRUE,WAHR
truth,Wahrheit
try,Versuchen
turn,Wende
TV,Fernseher
two,zwei
type,Art
under,unter
understand,verstehen
unit,Einheit
until,bis um
up,oben
upon,auf
us,uns
use,benutzen
usually,meistens
value,Wert
various,verschiedene
very,sehr
victim,Opfer
view,Aussicht
violence,Gewalt
visit,Besuch
voice,Stimme
vote,Abstimmung
wait,warten
walk,gehen
wall,Wand
want,wollen
war,Krieg
watch,sehen
water,Wasser
way,Weg
we,wir
weapon,Waffe
wear,tragen
week,Woche
weight,Gewicht
well,Gut
west,Westen
western,Western
what,Was
whatever,was auch immer
when,wann
where,woher
whether,ob
which,welche
while,während
white,Weiß
who,Wer
whole,ganze
whom,wem
whose,wessen
why,Warum
wide,breit
wife,Ehefrau
will,werden
win,Sieg
wind,Wind
window,Fenster
wish,Wunsch
with,mit
within,innerhalb
without,ohne
woman,Frau
wonder,Wunder
word,Wort
work,Arbeit
worker,Arbeitnehmer
world,Welt
worry,Sorge
would,würde
write,schreiben
writer,Schriftsteller
wrong,falsch
yard,Hof
yeah,Ja
year,Jahr
yes,Ja
yet,noch
you,Sie
young,jung
your,Ihre
yourself,dich selbst
