word,de,nl,af,en,yi,fy,no,sv,da,is,fo,lv,lt,pl,cs,sk,sl,bg,mk,be,uk,ru,pt,gl,es,ca,oc,fr,it,ro,ga,cy,br,gd,gv,sq,hy,el,ka,xmf,lzz,sva,te
come,ˈkɔmən,ˈkoːmə(n),kɔm,kʌm,ˈkʊmən,,,ˈkɔmːa,kɔmə,ˈkʰɔːma,,nāːkt,ɐˈtʲɛjːtʲɪ,pʂɨˈxɔ.d͡ʑit͡ɕ,ˈpr̝̊ɪxaːzɛt,,ˈprìːti,,,,,prʲɪxɐˈdʲitʲ,ˈviɾ,,beˈniɾ,vəˈni,,və.niʁ,veˈnire,veˈni,t̪ˠaɾˠ,doːd,,hikʲ,,,ɡɑl,ˈeɾxome,mɔsvlä,mɔulä,mɔlvä,liqʰɛd,
lie,ˈlyːɡə,ˈløː.ɣə(n),,laɪ̯,,,,lœŋn,løɡn,ˈlɪːjɪ,,,ˈmʲæːɫas,ˈkwam.stfɔ,lɛʃ,ˈkɫamstvɔ,ˈláːʃ,ɫəˈʒa,,,,loʂ,mẽ.ˈti.ɾɐ,,menˈtiɾa,mənˈti.də,,mɑ̃.sɔ̃ʒ,buˈd͡ʒi.a,,bʲɾʲeːɡ,,,,,,sut,,tsʼɔlä,dɔndʒirä,dɔndʒiru,liqʼwrɛ,
sit,ˈzɪtsn̩,ˈzɪtə(n),,sɪt,,,,,seðə,ˈsɪːtja,,,sʲeːˈdʲeːtʲɪ,ˈɕɛ.d͡ʑɛt͡ɕ,ˈsɛɟɛt,,ˈsɛdèːti,sɛˈdʲɤ,,,seˈdʲite,sʲɪˈdʲetʲ,iʃ.ˈtaɾ,,senˈtaɾ,ˈsɛw.ɾə,,,seˈdere,,sˠɪɟ,ˈei̯sdɛð,,,,ulɛm,nəsˈtɛl,ˈkaθome,dʒdɔmä,dɔχunä,dɔχunu,lisgwrɛ,
stand,ˈʃteː.ən,staːn,,stænd,,ˈsteən,,,,ˈstanta,,stāːvɛ̂ːt,,stat͡ɕ,staːt,ˈstaːc,,,,,,stɐˈjætʲ,pɨɾ.mɐ.nɨ.ˈseɾ,,,,,ɛ.tʁə d(ə).bu,,,ʃasˠ,ˈsɛvɨ̞ɬ,,,,ri,kɑŋɡˈnɛl,ˈstekome,dgɔmä,gɛrinä,dɔdginu,lignɛ,
turn,ˈdʁeːən,ˈdraːi̯ə(n),,tɜːn,,,,,drajə,,,,,,ˈtot͡ʃɪt,,,,,,,vrɐˈɕːat͡sːə,,,xiˈɾaɾ,ʒiˈɾa,,tuʁ.ne,dʒiˈrare,,kɑsˠ,,,,,,ʃəɾdʒˈvɛl,,tʼriäli,rtʰäpʰä,ɔkʰtʰu,lisipʼ,
fall,ˈfaln̩,ˈvɑlə(n),fal,fɔːl,,,,falːa,,ˈfatla,fatl,,,ˈspa.dat͡ɕ,ˈpadat,,ˈpaːsti,ˈpad̪əm,,,ˈpadatɪ,ˈpadətʲ,kɐˈiɾ,,kaˈeɾ,ˈkaw.ɾə,,tɔ̃.be,kaˈdere,kəˈde̯a,tʲɪtʲ,ˈsərθjɔ,,t̪uʰtʲ,,ˈbiɛ,əŋkˈnɛl,,dätsɛmä,dɔntʰχäpʰä,gɛntʰχinu,liwɛχ,
give,ˈɡeːbən,ˈɣeːvə(n),,ɡɪv,,jaːn,,jeː,ɡiː,ˈcɛːva,t͡ʃeːʋa,duôt,ˈduɔtʲɪ,ˈda.vat͡ɕ,ˈdaːvat,,ˈdati,ˈdavəm,,,,dɐˈvatʲ,ˈdaɾ,,ˈdaɾ,doˈna,,dɔ.ne,ˈda.re,da,ˈt̪ˠuːɾʲ,r̥ɔi̯,ˈrɛĩ,,,,tɑl,,mitsɛmä,mɛtʃämä,mɛtʃämu,lihwdi,
hold,ˈhaltn̩,ˈɦɑu̯də(n),ɦœu,həʊld,,hɔːdə,,,,ˈhalta,,tuɾɛ̂ːt,tʊˈɾʲeːtʲɪ,ˈtʂɨ.mat͡ɕ,dr̩ʒɛt,ˈdr̩ʒac,,,,trɨˈmat͡sʲ,,dʲɪrˈʐatʲ,ˌse.ɡu.ˈɾa(ɹ),,aɡwanˈtaɾ,ə.ɡwənˈta,,tə.niʁ,teˈne.re,ˈt͡si.ne,ˈkɪn̠ʲə,dal,,kʰuːm,,mbaj,bərˈnɛl,,dätʃʼɛrä,däkʼinɛbä,ɔkʰätʃu,lirmi,
squeeze,ˈdʁʏkŋ̩,ˈklɛmə(n),,skwiːz,,,,,,,,,,ˈɕt͡ɕi.skat͡ɕ,,,,,,,,ʐːɨˈmatʲ,,espɾeˈmeɾ,ekspɾiˈmiɾ,əsˈpɾe.mə,,pʁɛ.se,,,,,,,,,sɛʁˈmɛl,,mɔtʃʼɛrä,mɔntʃʼirä,ɔzdimu,litʰlɛ,
rub,ˈʀaɪ̯bnˌ,ˈvrɛi̯və(n),,ɹʌb,,,,,,,,,,tʂɛt͡ɕ,tr̝̊iːt,,,,,,ˈtɛrte,tʲɪˈrʲetʲ,ˌes.fɾe.ˈɡa(ɻ),,,fɾəˈɡa,,fʁɔ.te,strofiˈnare,freˈka,ˈkɪmʲɪlʲ,,,,,fəɾˈkɔj,,triˈvo,χäχuni,tʃirkʰɔli,ɔkʰurtʃɔlu,liχdʒənɛ,
wash,ˈvaʃən,ˈʋɑsə(n),,wɒʃ,,,,,,θvɔː,,mazɡâːt,,mɨt͡ɕ,miːt,,,,,,,mɨtʲ,lɐˈvaɾ,,,rənˈta,,la.ve,,,nʲɪɟ,ˈɡɔlχɪ,,,,,ləˈvɑl,,rɛtsχvä,rtʃχuälä,ɔtʃχu,liʃqʼwdi,
wipe,ˈvɪʃn̩,ˈveː.ɣə(n),,waɪp,,,,,veskɘ,,,slāwtsîːt,,vɨˈt͡ɕɛ.rat͡ɕ,ˈuciːrat,,,,ˈbriʃɛ,,,vɨtʲɪˈratʲ,ˌes.fɾe.ˈɡa(ɻ),,limˈpjaɾ,ə.ʃuˈɡa,ejsyˈɣa,e.sɥi.je,aʃʃuˈɡare,,ˈkɪmʲɪlʲ,,,,,,səɾˈpʰɛl,,tsʼmɛndä,tsʼiminduä,ɔtsʼimidu,likʼwtsæni,
pull,ˈtsiːən,ˈtrɛkə(n),,pʊl,,,,,trɛkə,ˈtraːɣa,,,,ˈt͡ɕɔŋ.ɡnɔɲt͡ɕ,ˈtaːɦnou̯t,ˈci̯aɦnuc,,,,t͡sʲaˈɣat͡sʲ,tʲɐˈɦɑte,tʲɪˈnutʲ,pu.ˈʃa(ɹ),,tiˈɾaɾ,tiˈɾa,,ti.ʁe,t̪iˈrare,,,,,,,,kʰɑˈʃɛl,,mɔkʰätʃvä,zindäpʰi,ɔzdimu,libid,
push,ˈdʁʏkŋ̩,ˈdyu̯ə(n),,pʊʃ,,ˈtrjoːə,,²ɧʉːta,skɔbɘ,ˈr̥ɪnta,,,,pxat͡ɕ,ˈtlat͡ʃɪt,ˈtɫat͡ʃic,,,,,,tɐlˈkatʲ,ẽ.pu.ˈʁaɾ,,empuˈxaɾ,əmˈpə.ɲə,,pu.se,ˈspindʒere,,,,,,,,həˈɾɛl,,mitsʼɛvä,ɛkʼɔkʼinä,mɛkʼäntʃʼinu,likʰχɛ,
throw,ˈvɛʁfən,ˈʋɛrpə(n),,θɹəʊ,,,,,,ˈkʰasta,kʰasta,mest,ˈmʲɛsʲtʲɪ,ˈʐu.t͡sat͡ɕ,,,,,,,,brɐˈsatʲ,lɐ̃.ˈsaɾ,,,ʎənˈsa,,ʒə.te,,,kɑh,ˈtavlɨ̞,,ˈtʃʰilikʲ,,,nɛˈtɛl,,srɔlä,ʔɔtʰämä,ɔstʰɔmilu,likʼwänɛ,
tie,ˈbɪndn̩,ˈknoːpə(n),,taɪ,,,,,benə,,,,ˈrʲɪʃʲtʲɪ,ˈvʲɔ̃.zat͡ɕ,ˈpr̝̊ɪvaːzat,,,,,,,ˈsvʲazɨvətʲ,ɐˈtaɾ,,aˈtaɾ,,,lje,leˈɡare,,,,,,,,kɑˈpɛl,,däbmä,dɔkʼiruä,mɛkʼiru,libɛm,
sew,ˈnɛːən,ˈnaːjə(n),,səʊ,,,,,syː,ˈsøyːma,,ʃūːt,ˈsʲuːtʲɪ,ʂɨt͡ɕ,,,,ˈʃijə,,ʂɨt͡sʲ,,ʂɨtʲ,,,ko.ˈser,kuˈzi,,kudʁ,kuˈtʃire,,,,,,,,kɑˈɾɛl,,kʼɛrvä,tʃʼälä,ɔtʃʼu,liʃχbi,
count,ˈt͡sɛːlən,ˈtɛlə(n),tɛ̞ːl,kaʊnt,,,,,,ˈtʰɛlja,,skàjtîːt,,ˈlʲi.t͡ʂɨt͡ɕ,ˈpot͡ʃiːtat,,,,ˈbrɔi,,,ɕːɪˈtatʲ,kõ.ˈtaɾ,,konˈtaɾ,komˈta,,kɔ̃.te,konˈtare,,ɾˠiːvˠ,,,,,,,,tʰvlä,kʼɔrɔtsχuä,ɔkʼɔrɔtsχu,liʃɛldɛ,
say,zaːɡən,ˈzɛɣə(n),sɛː,seɪ,ˈzɔ.ɡŋ̩,,²sæɪɑ,ˈsɛjːa,,ˈseiːja,siːja,satsîːt,sɐˈkʲiːtʲɪ,ˈmu.vʲit͡ɕ,r̝iːt͡st,ˈɦɔvɔric,ˈrɛtʃi,ˈkazvəm,,ɣavaˈrɨt͡sʲ,,ɡəvɐˈrʲitʲ,di.ˈzeɾ,diˈθiɾ,deˈθiɾ,ˈdi,,diʁ,ˈdi.re,ˈzitʃe,ˈabˠəɾʲ,,,ˈapɪɾʲ,,θɛm,ɑˈsɛl,,tʰkʰmä,tʰkʰuälä,ɔtʰkʰu,likʰwisg,
sing,ˈzɪŋən,ˈzɪ.ŋə(n),səŋ,sɪŋ,ˈzɪn.ɡn̩,,²sʏŋːjɑ,,sønɡə,ˈsiɲca,,dziɛ̂dâːt,dɐjˈnuɔtʲɪ,ˈɕpʲɛ.vat͡ɕ,ˈspiːvat,,ˈpɛ̀ːti,ˈpɛjə,,,sʲpʲiˈu̯ɑte,pʲetʲ,kɐ̃ˈtaɾ,,kanˈtaɾ,kənˈta,,ʃɑ̃.te,kanˈtaːre,kɨnˈta,kanˠ,ˈkanɨ̞,,,,kənˈdɔj,jɛɾˈkʰɛl,,mʁɛrä,birä,ɔbiru,liʁräl,
play,ˈʃpiːlən,ˈspeːlə(n),,pleɪ,,,,,lajə,ˈleiːka,,,ˈʒɐjsʲtʲɪ,ɡrat͡ɕ,ɦraːt,ˈɦrac,iˈɡraːti,iˈɡrajə,,,ˈɦrɑte,ɪˈɡratʲ,ʒu.ˈɣaɾ,,xuˈɡaɾ,ʒuˈɡa,,ʒwe,d͡ʒoˈkä.re,,ˈɪmʲəɾʲ,ˈχwaraɨ̯,,,,,χɑˈʁɑl,,däkʼvrä,mɛgämä,gɛlätʃämu,liʃmɛ,
float,ˈtʀaɪ̯bm̩,ˈdrɛi̯və(n),,fləʊt,,,,flyːta,,,,,,,ˈplavat,,,,,,,ˈplavətʲ,,,,floˈta,,flɔ.te,ɡalledˈdʒare,,,,,,,,,,tʼivtʼivi,pʰäpʰäpʰi,mɔmkʰu,,teːlu
flow,ˈfliːsn̩,ˈvlujə(n),flui,fləʊ,,,,,,ˈrɛnːa,,,ˈbʲeːk.tʲɪ,ˈpwɨ.nɔɲt͡ɕ,tɛːt͡st,ˈci̯ɛt͡sc,ˈtɛtʃi,tɛˈkə,,,,tʲet͡ɕ,,,ˈflwiɾ,fluˈi,,ku.le,fluˈire,,,,,,,,hoˈsɛl,ˈre.o,dinɛbä,ulä,ɔzimzilu,lizi,
freeze,ɡəˈfʁiːʁən,bəˈvrizə(n),,ˈfɹiːz,,,,,,ˈfrjouːsa,,,,zaˈmar.zat͡ɕ,ˈzmr̩zˌnɔʊ̯t,,,,,,,zəmʲɪrˈzatʲ,ʒe.ˈla(ɻ),ʃeˈaɾ,eˈlaɾ,,,ʒə.le,dʒeˈlare,,,,,rˠɔː,,,,,gäqʼinvä,ʔinuä,ɔqʼinu,likʼwrɛmi,
swell,ˈʃvɛlən,ˈzʋɛlə(n),,swɛl,,,,,,,ˈpœlna,,,ˈpux.nɔɲt͡ɕ,,,,,,,,rəzdʊˈvat͡sːə,ĩ.ˈʃa(ɹ),,,imˈflaɾ.sə,,ɡɔ̃.fle,,,,,,,,,uˈrɛl,ˈpɾizome,ʃɛʃupʼɛbä,mbäruä,ɔbäru,liʃiɛ,
sun,ˈzɔnə,,,sʌn,zʊn,,suːl,suːl,soːl,souːl,sɔuːl,sāūle,ˈsɑuleː,ˈswɔɲ.t͡sɛ,ˈslunt͡sɛ,ˈsɫ̩ŋkɔ,ˈsóːntsɛ,ˈslɤntsɛ,ˈsɔnt͡sɛ,ˈsont͡sa,ˈsɔnt͡sɛ,ˈsont͡sə,ˈsɔɫ,s̺ol,ˈsol,ˈsɔl,suˈlel,sɔ.lɛj,ˈso.le,ˈso̯are,ɟɾʲiənˠ,haɨ̯l,,,ɡriːn,,ɑˈɾɛv,ˈi.ʎos,mzɛ,bʒä,mʒɔrä,miʒ,
moon,moːnt,maːn,,muːn,,ˈmwanə,,ˈmoːˌnɛ,,tʰuŋl,ˈmɔanɪ,,mʲeːˈnʊlʲɪs,ˈkɕɛŋ.ʐɨt͡s,ˈmjɛsiːt͡s,ˈmɛsi̯at͡s,ˈlùːna,luˈna,,,,lʊˈna,ˈlu.ɐ,ˈluɐ,ˈluna,ˈʎu.nə,ˈlyno,lyn,ˈlu.na,ˈlunə,ɟəˈl̪ˠɑx,ˈɬeɨ̯ad,,,eːs,hənə,luˈsin,,mtʰvärɛ,tʰutʰä,tʰutʰä,dɔʃdul,
star,ʃtɛʁn,stɛr,,stɑː(ɹ),ˈʃtɛʁən,,²stjɛrnə,²ɧæːɳa,stjɛrnə,ˈstjartna,ˈʃœtna,zvàjɡznɛ,ʒʋɐjɡʲʒʲˈdʲeː,ˈɡvʲaz.da,ˈɦvjɛzda,ˈɦvi̯ɛzda,ˈzʋèːzda,zvɛzˈda,ˈd͡zvɛzda,ˈzorka,,zvʲɪzˈda,ɨʃˈtɾelɐ,es̺ˈtɾelɐ,esˈtɾeʎa,əsˈtɾə.ʎə,,e.twal,ˈstel.la,,ˈɾˠeːl̪ˠt̪ˠə,ˈsɛrɛn,ste.ˈʁe.dɛ̃n,rˠeːɫ̪,,yɫ,ˈɑstəʁ,,värskʼvlävi,murutsχi,murutsχi,ämtʼqʼwæsg,
water,ˈva.sɐ,ˈʋaːtər,ˈvɑːtər,ˈwɔːtə,,ˈvɛtər,ˈʋɑtn̩,ˈvatːɛn,vand,vaʰtn,vaʰtn,ûːdɛns,,ˈvɔ.da,ˈvoda,ˈvɔda,,,,vaˈda,wɔˈdɑ,vɐˈda,,ˈaw.ɡa,ˈaɡwa,ˈaj.ɡwə,,o,,ˈapə,ˈɪʃcɪ,duːr,ˈduːʁ,ˈɯʃkʲə,ˈuʃtʲə,ˈujə,d͡ʒuɾ,neˈro,tsʼqʼäli,tsʼqʼäri,tsʼkʼäri,lits,
rain,ˈʁeːɡən,ˈreː.ɣə(n),rɪə̯(n),ɹeɪn,,rai̯n,,rɛŋn,ˈʁɑɪ̯ˀn,ˈrɪkniŋk,ɹɛkn,liɛ̂tus,ljɛˈtʊs,dɛʂt͡ʂ,ˈdɛːʃc,daːʃc,ˈdə́ʃ,dɤʃt,dɔʃt,doʂt͡ʂ,dɔʃt͡ʃ,doʂtʲ,ˈʃu.vɐ,ˈt͡ʃuβja̝,ˈʎubja,ˈplu.ʒə,ˈplɥɛ(d)ʒo,plɥi,ˈpjɔddʒa,ˈplʷaje,ˈbˠɑːʃtʲəx,ɡlau̯,,ˈɯʃkʲə,flʲaː,ʃiː,ɑnd͡zˈɾɛv,vɾoˈçi,tsʼvimä,tʃʼvɛmä,mtʃʼimä,utʃχɛ,
river,flʊs,riːˈviːr,rəˈfiːr,ˈɹɪvə,,,,fluːd,,fljouːt,ɔaː,,ˈʊpʲeː,ˈʐɛ.ka,ˈr̝ɛka,ˈri̯ɛka,ˈrèːka,rɛˈkɤ,,raˈka,rʲiˈkɑ,rʲɪˈka,ˈʁi.u,ˈri.o̝,ˈri.o̞,ˈriw,ˈrriw,flœv,ˈfju.me,rɨw,əunʲ,ˈavɔn,ˈstɛːr,,aunʲ,,ɡɛt,,mdinärɛ,mältsʼqʼäri,ɔrubä,tʃʼälæ,n̪ad̪i
lake,zeː,meːr,,leɪk,,,,ɧøː,søː,vaʰtn,vaʰtn,æzæɾs,ˈæːʒʲɛɾɐs,jɛˈʑɔ.rɔ,ˈjɛzɛro,ˈjazɛrɔ,ˈjéːzɛrɔ,ˈɛzɛro,,ˈvozʲera,ˈɔzerɔ,ˈozʲɪrə,ˈla.ɣu,ˈlaɣo̝,ˈla.ɡo,ˈʎak,,lak,ˈlaɡo,,l̪ˠɔx,ɬɨ̞n,,,laːx,liˈcɛn,lit͡ʃ,,tʼbä,tʼɔbä,tʼɔbä,tʼɔb,sarasːu
sea,meːɐ̯,zeː,,siː,,seː,hɑːʋ,ɧøː,hav,haːv,hɛaːv,jūːɾa,ˈjuːrɐ,ˈmɔ.ʐɛ,mor̝ɛ,ˈmɔrɛ,ˈmóːrjɛ,moˈrɛ,,,,ˈmorʲe,maɾ,,ˈmaɾ,ˈmar,,mɛʁ,ˈmaːre,ˈma.re,,moːr,ˈmoːʁ,,,dɛt,t͡sɔv,ˈθalasa,zʁvä,zʁvä,zuʁä,dzuʁwä,
salt,zal(t)s,zɑu̯t,,sɔːlt,,,,salt,salt,sal̥t,sal̥t,sàːls,,sul,suːl,ˈsɔʎ,ˈsóːw,,,,ˈsʲilʲ,solʲ,ˈsaɫ,s̺al,sal,ˈsal,,sɛl,ˈsale,ˈsa.re,ˈsalˠən̪ˠ,ˈhalɛn,,,ˈsolan,ˈkɹi.pə,ɑʁ,aˈlati,märili,dʒimu,dʒumu,dʒim,
stone,ʃtaɪn,steːn,,stəʊn,,stiə̯n,,,,steitn,,,,ˈka.mʲɛɲ,ˈkaːmɛn,ˈkamɛɲ,ˈkàːmən,ˈkamək,,,,ˈkamʲɪnʲ,ˈpɛ.dɾɐ,ˈpɛðɾɐ,ˈpjedɾa,ˈpe.dɾə,ˈpɛjɾo,pjɛʁ,ˈpjɛtra,,klˠɔx,ˈkarɛɡ,,,klaːx,ɡuɾ,kʰɑɾ,,kʰvä,kʰuä,kʰvä,bætʃ,
sand,zant,zɑnt,sant,sænd,,,sɑnd,,san,ˈsantʏr,,,,ˈpʲa.sɛk,ˈpiːsɛk,ˈpi̯ɛsɔk,ˈpèːsək,ˈpʲasək,,pʲaˈsok,pʲiˈsɔk,pʲɪˈsok,ɐˈɾɐjɐ,ˈʃaβɾe̝,aˈɾena,ˈso.rə,ˈsaβlo,sɑbl,ˈsab.bja,niˈsip,ˈɡanʲəvˠ,,tʁɛs,,ˈɡʲanʲax,,ɑˈvɑz,,kʰviʃä,kʰviʃä,ʁumi,kʰwiʃɛ,
dust,ʃtaʊ̯p,,stɔf,dʌst,,,,dam,støːv,rɪːk,,,,kuʂ,,,ˈpráːx,,,pɨɫ,,pɨlʲ,ˈpɔ,pɔ,ˈpol.bo,ˈpols,,pu.sjɛʁ,ˈpol.ve.re,,dʲanˠəx,ɬuːχ,,,dʒaun,,pʰoˈʃi,,mtʼvɛri,tʼvɛri,mtʼvɛri,pʼisw,
earth,ˈeːɐ̯də,ˈaːr.də,ˈɑːr.də,ɜːθ,,,,juːɖ,joːr,jœrð,jøːɹ,zɛmɛ,ˈʒʲæːmʲeː,ˈʑɛ.mʲa,ˈzɛmjɛ,ˈzɛm,ˈzɛ̀ːmlja,zɛˈmʲa,,zʲaˈmlʲa,zeˈmlʲɑ,zʲɪˈmlʲa,ˈtɛʁɐ,,ˈtje̞.ra̠,ˈtɛ.rə,,tɛʁ,ˈtɛr.ra,pəˈmɨnt,,,,,,ðɛ,hɔʁ,,mitsʼä,diχä,lɛtʼä,gim,
cloud,ˈvɔlkə,ʋɔlk,vɔlk,klaʊd,,,ʃyː,,,sciː,skʊt͡ʃː,,,ˈxmu.ra,mrak,,ɔˈbláːk,,,ˈxmara,,ˈobləkə,ˈnu.vɐj̃,,,,,ny.aʒ,ˈnu.vo.la,nor,ˈsˠkamˠəl̪ˠ,ˈkʊmʊl,ˈku.mul,ɲiaɫ̪,,,ɑmp,ˈsinɛfɔ,ʁrubɛli,munäpʰä,pʼulä,mɛrɛ,
fog,ˈneːbl̩,mɪst,,fɒɡ,,,,,tɔːɡə,ˈθɔːka,ˈtʰoːʰka,,ˈruːkɐs,mɡwa,mɫ̩ɦa,ˈɦmɫa,məˈɡlá,məˈɡɫa,ˈmaɡla,,,tʊˈman,nɨ.ˈvwɐj.ɾu,ˈnɛβo̯a̝,,ˈbɔj.ɾə,ˈnɛβlo,bʁu.jaʁ,ˈnebbja,ˈt͡ʃe̯a.t͡sə,coː,,,,kʲeː,ˈmjɛɡuɫ,mɑrɑˈχuʁ,,nisli,nirsi,mpʼulä,bintʼw,
sky,ˈhɪml̩,ˈɦeː.məl,lœχ,skaɪ,,,,,,ˈhɪːmɪnː,ˈhiːmɪn,,dɐŋˈɡʊs,ˈɲɛ.bɔ,ˈnɛbɛ,ˈɲɛbɔ,nɛˈbóː,nɛˈbɛ,,ˈnʲeba,,ˈnʲebə,ˈsɛw,ˈθɛ.ʊ,firmaˈmento,ˈsɛl,,sjɛl,ˈt͡ʃɛ.lo,t͡ʃer,eːɾˠ,ˈau̯ɨ̞r,ˈo.abl,,,,jɛɾˈkiŋkʰ,,tsä,tsä,tsä,dɛts,
wind,vɪnt,ʋɪnt,,ˈwɪnd,,,,vɪnd,ʋend,ˈvɪntʏr,ˈvɪntʊɹ,vɛ̄ːjʃ,ˈʋʲeːjɛs,vʲatr,ˈviːtr̩,ˈvi̯ɛtɔr,,ˈvʲatər,ˈvɛtɛr,,ˈʋʲiter,ˈvʲetʲɪr,ˈvẽ.tu,ˈbento̝,ˈbjento,,,vɑ̃,ˈvɛn.to,,ɡeː,,ˈɑːvɛl,,ɡiː,ɛːɹ,kʰɑˈmi,,kʰäri,bɔriä,iχi,bikʰw,
