word,pt,sl,da,lzz,cs,sva,fy,uk,sk,oc,is,lv,br,gl,be,gv,ka,ca,ga,fo,it,cy,te,pl,gd,de,lt,nl,el,es,mk,bg,fr,ro,no,sv,sq,ru,xmf,af,yi,hy
swim,nɐˈðaɾ,ˈplaːʋati,svœmə,ɔntʃviru,ˈplavat,likʰni,ˈsvɪm.mə,,ˈpɫaːvac,,ˈsɪnta,pɛ̄ldɛ̂ːt,,,,,tsurvä,nəˈda,sˠn̪ˠɑːvˠ,,nwoˈtare,ˈnɔvjɔ,iːd̪u,ˈpwɨ.vat͡ɕ,,ˈʃvɪmən,ˈpɫɒʊ̯ˑkʲtʲɪ,ˈzʋɛ.mə(n),,naˈdaɾ,,,na.ʒe,,²sʏmjɑ,,nɔˈtɔj,ˈplavətʲ,ntʃuruä,,,lɔˈʁɑl
back,ˈkɔs.tas,ˈxərbət,,kʼäpʼulä,ˈzaːda,tʃʼätʃʼær,rɛːx,,ˈxr̩baːt,,paːk,,ˈkɛjn,ˈlombo̝,ˈsʲpʲina,d̪riːm,zurgi,əsˈkə.nə,d̪ˠɾˠiːmʲ,,ˈskjɛna,,,ˈplɛ.t͡sɨ,kʰuːɫ̪,ˈʁʏkn̩,ˈn̪ʊɡɐrɐ,rʏx,,esˈpal.da,ɡr̩p,ɡrɤp,do,,,rʏɡ,ʃpiːn,spʲɪˈna,ɔtʃʼiʃi,rœχ,,mɛt͡ʃʰkʰ
fog,nɨ.ˈvwɐj.ɾu,məˈɡlá,tɔːɡə,mpʼulä,mɫ̩ɦa,bintʼw,,,ˈɦmɫa,ˈnɛβlo,ˈθɔːka,,,ˈnɛβo̯a̝,,kʲeː,nisli,ˈbɔj.ɾə,coː,ˈtʰoːʰka,ˈnebbja,,,mɡwa,,ˈneːbl̩,ˈruːkɐs,mɪst,,,ˈmaɡla,məˈɡɫa,bʁu.jaʁ,ˈt͡ʃe̯a.t͡sə,,,ˈmjɛɡuɫ,tʊˈman,nirsi,,,mɑrɑˈχuʁ
lake,ˈla.ɣu,ˈjéːzɛrɔ,søː,tʼɔbä,ˈjɛzɛro,tʼɔb,,ˈɔzerɔ,ˈjazɛrɔ,,vaʰtn,æzæɾs,,ˈlaɣo̝,ˈvozʲera,laːx,tʼbä,ˈʎak,l̪ˠɔx,vaʰtn,ˈlaɡo,ɬɨ̞n,sarasːu,jɛˈʑɔ.rɔ,,zeː,ˈæːʒʲɛɾɐs,meːr,,ˈla.ɡo,,ˈɛzɛro,lak,,,ɧøː,liˈcɛn,ˈozʲɪrə,tʼɔbä,,,lit͡ʃ
mountain,mõ.ˈtɐ.ɲɐ,ɡɔ̀ːra,bjɛrv,gɔlä,ˈɦora,läχw,bɛrx,ɦɔˈrɑ,ˈɦɔra,,fjatl,kâlns,,monˈtaɲa̝,,slʲuː,mtʰä,,ʃlʲiəvˠ,fjatl,monˈtaɲɲa,ˈmənɨ̞ð,,ˈɡu.ra,,bɛrk,ˈka͡l.nɐs,bɛrx,ˈo̞ro̞s,monˈtaɲa,,pləniˈna,mɔ̃.taɲ,ˈmuntɛ,fjɛlː,bɛrj,mal,ɡɐˈra,gɔlä,,,lɛr
I,ˈew,,jaj,mä,jaː,mi,ɪk,ˈjɑ,ˈja,ˈjew,jɛɣ,ɛs,,ˈew,,miː,mɛ,ˈʒɔ,mʲeː,eː,ˈi.o,miː,,ja,mi,ɪç,ɐʂ,ɪk,eˈɣo,ɟ͡ʝo,jas,as,ʒə,jew,eːɡ,ˈjɑː(ɡ),ˈun,ja,mä,ɛk,ɪχ,jɛs
stick,ˈpaʊ,,kɛp,bigä,ɦuːl,pʰäu,,,,,ˈstaːvʏr,,,,,,dʒɔχi,,ˈbˠat̪ˠə,,basˈtone,,,kʲij,,ʃtaːp,lɐzˈdɐ,,,,stap,ˈprɤtʃkə,bɑ.tɔ̃,,,ɕɛp,,ˈpalkə,bigä,,,pʰɑjt
man,ˈɔmẽɪ̯,ˈtʃlɔ̀ːʋɛk,,kʼɔtʃi,ˈt͡ʃlovjɛk,märɛ,ˈminskə,,ˈt͡ʃɫɔvɛk,,ˈmanːɛsca,tsìlvæ̀ːks,,ˈɔmɪ,t͡ʂaɫaˈvʲek,,kʼätsi,ˈɔ.mə,ˈd̪ˠɪnʲə,,ˈwɔ.mo,dɨːn,,ˈt͡ʂwɔ.vʲɛk,t̪ɯɲə,mɛnʃ,ʒmoˈɡʊs,mɛns,ˈanθɾɔpɔs,ˈombɾe,ˈt͡ʃɔvɛk,tʃoˈvɛk,ɔm,om,²mɛnːɛʃə,mɛnːɪɧa,ɲɛˈɽi,t͡ɕɪlɐˈvʲek,kʼɔtʃi,,mɛnt͡ʃ,mɑɾtʰ
vomit,vu.mi.ˈtaɾ,,,ɔntʰχɔru,,litʼχunɛ,,,,,ˈaiːla,,,,,,rtsʼqʼɛvä,vo.miˈta,ˈaʃɪɟ,,vomiˈtare,,,vɨ.mʲɔˈtɔ.vat͡ɕ,,ˌyːbɐˈɡeːbən,,,,,ˈpɔvraca,,vɔ.miʁ,,,,,blʲɪˈvatʲ,rtsʼqʼiälä,,,
fall,kɐˈiɾ,ˈpaːsti,,gɛntʰχinu,ˈpadat,liwɛχ,,ˈpadatɪ,,,ˈfatla,,,,,,dätsɛmä,ˈkaw.ɾə,tʲɪtʲ,fatl,kaˈdere,ˈsərθjɔ,,ˈspa.dat͡ɕ,t̪uʰtʲ,ˈfaln̩,,ˈvɑlə(n),,kaˈeɾ,,ˈpad̪əm,tɔ̃.be,kəˈde̯a,,falːa,ˈbiɛ,ˈpadətʲ,dɔntʰχäpʰä,fal,,əŋkˈnɛl
stone,ˈpɛ.dɾɐ,ˈkàːmən,,kʰvä,ˈkaːmɛn,bætʃ,stiə̯n,,ˈkamɛɲ,ˈpɛjɾo,steitn,,,ˈpɛðɾɐ,,klaːx,kʰvä,ˈpe.dɾə,klˠɔx,,ˈpjɛtra,ˈkarɛɡ,,ˈka.mʲɛɲ,,ʃtaɪn,,steːn,,ˈpjedɾa,,ˈkamək,pjɛʁ,,,,ɡuɾ,ˈkamʲɪnʲ,kʰuä,,,kʰɑɾ
far,ˈlõ.ʒɨ,ˈdàːlɛtʃ,,mɛndrä,ˈdalɛkiː,dʒwɛdiä,,,,,,tâːls,,,daˈlʲokʲi,,ʃɔri,ʎuˈɲa,ˈfˠɑd̪ˠə,,lonˈtano,pɛɬ,,daˈlɛ.kʲi,,fɛʁn,,vɛr,makriˈa,,,dəˈlɛtʃɛn,lwɛ̃.tɛ̃,deˈpar.te,,,,dɐˈlʲɵkʲɪj,ʃɔri,,,hɛˈru
straight,ˈʁɛ.tu,,,duzi,ˈpr̝̊iːmiː,mɛtsʼwin,,,,,peitn,,,,praˈmɨ,,stsʼɔri,,ˈdʲiːɾʲəx,,dritto,,,ˈprɔ.stɨ,tʲiːɾʲəx,ɡəˈraːdə,,rɛxt,,,,,dʁwɑ,drept,,,,prʲɪˈmoj,tʰini,,,uˈʁiʁ
river,ˈʁi.u,ˈrèːka,,ɔrubä,ˈr̝ɛka,tʃʼälæ,,rʲiˈkɑ,ˈri̯ɛka,ˈrriw,fljouːt,,ˈstɛːr,ˈri.o̝,raˈka,aunʲ,mdinärɛ,ˈriw,əunʲ,ɔaː,ˈfju.me,ˈavɔn,n̪ad̪i,ˈʐɛ.ka,,flʊs,ˈʊpʲeː,riːˈviːr,,ˈri.o̞,,rɛˈkɤ,flœv,rɨw,,fluːd,,rʲɪˈka,mältsʼqʼäri,rəˈfiːr,,ɡɛt
what,u ˌki,ˈkàːj,vad,mu,t͡so,mæ,,ʃtʃɔ,ˈt͡ʃɔ,,xʷaːð,,ˈpe.tʁa,,ʂto,,rä,ˈkə,kad̪ˠ,kvɛaːʰt,,beːθ,,t͡sɔ,tʲeː,vas,,ʋɑt,,ˈke,,kɐkˈvɔ,kwa,t͡ʃe,kʋɑː,vɑː(d),tʃfaɹ(ə),ʂto,mu,vat,vɔs,int͡ʃʰ
scratch,ko.ˈsa(ɻ),,,ɔʁätsʼkʼu,,lipʰχäntʃʼwä,,,,,,,,,ˈdrapat͡sʲ,,pʰχätʃʼnä,,,,,,,ˈdra.pat͡ɕ,,ˈkʀat͡sn̩,,,ˈksino,rasˈkaɾ,,,ɡʁa.te,,,,,t͡sɐˈrapətʲ,tsχäbäruä,,,kʰɛɾˈtsɛl
they,ˈe.lɨʃ,ˈɔ̀ːni,di,ɛntʰɛpʰɛ,ˈoɲɪ,ɛdʒær,ja,wɔˈnɪ,ˈɔɲi,,θeiːr,,,,,,isini,ˈeʎs,ʃiəd̪ˠ,tʰaiːɹ,,huːɨ̯,,ˈɔ.ɲi,iət̪,ziː,jæ,zɛi̯,,ˈeʎos,tiɛ,t̪ɛ,il,jej,,dɔm,aˈta,ɐˈnʲi,tʰinɛpʰi,,,nəˈɾɑŋkʰ
short,ˈkuɾ.tu,ˈkràːtək,kɔrt,mkʼulɛ,ˈkraːtkiː,kʼudæ,,kɔˈrɔtkei̯,ˈkraːtki,,ˈstʏhtʏr,îːs,,,kaˈrotkʲi,,mɔkʼlɛ,ˈkuɾt,ɟaːɾˠ,,ˈkorto,bɨ̞r,,ˈkrut.kʲi,ˈkɤɾʲɪtʲ,kʊʁt͡s,,kɔrt,,ˈkorto,ˈkratɔk,ˈkɤs,kuʁ,skurt,,kɔrt,,kɐˈrotkʲɪj,kʼuntʼä,,,kɑɾt͡ʃ
ice,ˈʒe.lu,ˈléːt,iːs,buzi,lɛt,kʼwärɛm,iːs,,ˈʎat,,iːs,lædus,,ˈʃe.ʊ,lʲot,,qʼinuli,ˈʒɛl,əiɾʲ,ˈʊiːsʊɹ,ˈɡjat.t͡ʃo,jaː,,lut,,aɪ̯s,,ɛi̯s,ˈpaɣos,ˈɟ͡ʝelo,mras,lɛt,ɡlas,,iːs,,,lʲɵt,ʔini,ə̟i̯s,,sɑˈrujt͡sʰ
sit,iʃ.ˈtaɾ,ˈsɛdèːti,seðə,dɔχunu,ˈsɛɟɛt,lisgwrɛ,,seˈdʲite,,,ˈsɪːtja,,,,,,dʒdɔmä,ˈsɛw.ɾə,sˠɪɟ,,seˈdere,ˈei̯sdɛð,,ˈɕɛ.d͡ʑɛt͡ɕ,,ˈzɪtsn̩,sʲeːˈdʲeːtʲɪ,ˈzɪtə(n),ˈkaθome,senˈtaɾ,,sɛˈdʲɤ,,,,,ulɛm,sʲɪˈdʲetʲ,dɔχunä,,,nəsˈtɛl
cloud,ˈnu.vɐj̃,ɔˈbláːk,,pʼulä,mrak,mɛrɛ,,,,,sciː,,ˈku.mul,,ˈxmara,,ʁrubɛli,,ˈsˠkamˠəl̪ˠ,skʊt͡ʃː,ˈnu.vo.la,ˈkʊmʊl,,ˈxmu.ra,ɲiaɫ̪,ˈvɔlkə,,ʋɔlk,ˈsinɛfɔ,,,,ny.aʒ,nor,ʃyː,,,ˈobləkə,munäpʰä,vɔlk,,ɑmp
warm,,ˈtɔ̀ːpəw,,tʼibu,ˈtɛpliː,tʼɛbdi,vaːrm,,ˈcɛpliː,,,sīlts,,ˈkɛnt̪ɪ,ˈt͡sʲopɫɨ,,tʰbili,kəˈlent,tʲɛ,,ˈkaldo,,,ˈt͡ɕɛ.pwɨ,,vaʁm,ˈʃʲɪltɐs,ʋɑr(ə)m,ze̞ˈsto̞s,kaˈljente,,ˈtɔpəl,ʃo,kald,,varm,,ˈtʲɵplɨj,tʼibu,,,d͡ʒɛɾm
guts,,,,tʃʼu,,tʃʼintʃʼil,,,,,,,,,,,nätsʼlävi,,ˈɪn̠ʲiː,,,,,,,ˈaɪ̯nɡəvaɪ̯də,,,,,ˈt͡srɛva,,ɑ̃t.ʁaj,,,,,kʲɪʂˈkʲi,tʃʼi,,,pʰoɾoˈtikʰ
thou,tu,ˈtíː,du,si,tɪ,si,,ˈtɪ,ˈti,,θu,,,,,,ʃɛn,ˈtu,t̪ˠuː,tʰʉuː(w),t̪u,tiː,,tɨ,hu,duː,tʊ,ɣɛi̯,,ˈtu,ti,ti,ty,tu,,dʉː,,tɨ,si,,,du
feather,,pɛˈróː,fjeːr,bundʁä,ˈpɛːro,pʼintʼqʼil,,peˈrɔ,,,fjœːðʏr,spālva,,ˈplumɐ,,,bumbuli,,ˈclʲɛtʲə,ˈfjøːvʊɹ,ˈpjuma,plɨː,iːka,ˈpʲu.rɔ,,ˈfeːdəʁ,,veːr,,ˈpluma,,,plym,fulɡ,fjøːr,,,pʲɪˈro,burdʁä,,,pʰɛˈtuɾ
four,ˈkwa.tɾu,ˈʃtìːrjɛ,fiːrə,ɔtʰχɔ,ˈt͡ʃtɪr̝ɪ,wɔʃtʰχw,,t͡ʃoˈtɪrɪ̞,ˈʃtiri,ˈkatre,ˈfjouːrir,tsætri,,,t͡ʂaˈtɨrɨ,kʲeːə(r),ɔtʰχi,ˈkwa.tɾə,ˈcahəɾʲ,ˈfʊiːɹa,ˈkwat.tro,ˈpɛdwar,n̪aːl̪uɡu,ˈt͡ʂtɛ.rɨ,,fiːɐ̯,kʲɛt̪ʊˈrʲɪ,vir,ˈte̞se̞ˌra,ˈkwatɾo,,,katʁ,ˈpa.tru,,ˈfyːˌra,ˈkatəɾ,t͡ɕɪˈtɨrʲe,ɔtʰχi,,fiʀ,t͡ʃʰɔɾs
stab,,,,ɔtsigu,,liswɛm,,,,,,,,,,,rtʃʼɔbä,ə.pu.ɲəˈla,,,puɲɲaˈlare,,,,,ˈʃtɛçn̩,,ˈsteːkə(n),,apuɲaˈlaɾ,,,pwa.ɲaʁ.de,,,,,zɐˈkalɨvətʲ,tsikʼäpʰä,,,χoˈtsʰɛl
know,sɐ.ˈbeɾ,,,ɔtʃkʰinu,ˈvjɛɟɛt,mäχäl,,ˈznɑte,ˈvɛɟi̯ɛc,,ˈvɪːta,zinâːt,,,ˈvʲedat͡sʲ,,tsɔdnä,səˈbə,,,saˈpeː.re,ˈmɛdrɨ̞,,ˈvʲɛ.d͡ʑɛt͡ɕ,,ˈvɪsn̩,ʒɪˈnoː.tʲɪ,ˈʋeːtə(n),ˈksɛ.ɾɔ,saˈbeɾ,,,savwaʁ,ʃti,,veːta,di,znatʲ,rtʃkʰinä,vɪət,vɪsn̩,ɡitɛˈnɑl
wing,ˈa.zɐ,ˈkrìːlɔ,,msvä,kr̝̊iːdlo,kʼäbərdʒ,,,ˈkriːdɫɔ,,ˈvaiŋkʏr,spàːɾns,ˈas.kɛl,aː,krɨˈɫo,ˈskiːən,pʰrtʰä,ˈa.lə,ˈʃcɪhɑːn,ˈvɔŋkʊɹ,ˈala,ˈadai̯n,rekːa,ˈskʂɨ.dwɔ,,ˈflyːɡl̩,,,,ˈala,,kriˈlɔ,ɛl,,,ˈvɪŋˌɛ,kɾa,krɨˈlo,suä,,,tʰɛv
hit,ɡow.pe.ˈaɾ,,slɔː,gɛtʃämu,,liqʼɛr,,,ˈudri̯ɛc,,stlauː,,,,,,rtʼqʼmä,kol.pəˈʒa,,,kolˈpire,ˈtarɔ,,uˈdɛ.ʐat͡ɕ,ˈbuɪl,ˈʃlaːɡən,,ˈraːkə(n),,,,,fʁa.pe,,,,,ʊdɐˈrʲætʲ,mɛgämä,,,χəˈpʰɛl
knee,ʒu.ˈe.ʎu,kɔˈlèːnɔ,,burgili,ˈkolɛno,kʰutʰul,,,ˈkɔlɛnɔ,(d)ʒeˈnul,n̥jɛː,tsɛlis,ˈɡliːn,ʃeˈonʎo̝,kaˈlʲena,ɡlʲuːnʲ,muχli,ʒəˈnoʎ,ɡl̪ˠuːnʲ,knɛaː,dʒiˈnɔkkjo,,,kɔˈla.nɔ,,kniː,ˈkʲæ̌ːlʲɪs,kni,ˈɣɔnatɔ,roˈdiʎa,,koˈlʲano,ʒə.nu,dʒeˈnunkʲ,,,,kɐˈlʲenə,birguli,,knɪ,t͡suŋk
throw,lɐ̃.ˈsaɾ,,,ɔstʰɔmilu,,likʼwänɛ,,,,,ˈkʰasta,mest,,,,,srɔlä,ʎənˈsa,kɑh,kʰasta,,ˈtavlɨ̞,,ˈʐu.t͡sat͡ɕ,ˈtʃʰilikʲ,ˈvɛʁfən,ˈmʲɛsʲtʲɪ,ˈʋɛrpə(n),,,,,ʒə.te,,,,,brɐˈsatʲ,ʔɔtʰämä,,,nɛˈtɛl
flower,ˈfloʁ,ˈtsʋéːt,,pʰukʰiri,ˈkvjɛt,muʁwæ,blom,ˈkʋʲitkɐ,ˈkvɛt,,plouːm,,blœ̃w,,,,qʼvävili,ˈflɔ,bˠl̪ˠɑː,ˈblɔuma,,ˈblɔdɨ̞n,puʋːu,kfʲat,,ˈblyːtə,,blum,ˈanθɔs,ˈfloɾ,,t͡svʲat,flœʁ,flo̯are,bluːm,blʊ.ma,ˈlulɛ,t͡svʲɪˈtok,pʼɛuli,,blʊm,t͡sɑˈʁik
turn,,,drajə,ɔkʰtʰu,ˈtot͡ʃɪt,lisipʼ,,,,,,,,,,,tʼriäli,ʒiˈɾa,kɑsˠ,,dʒiˈrare,,,,,ˈdʁeːən,,ˈdraːi̯ə(n),,xiˈɾaɾ,,,tuʁ.ne,,,,,vrɐˈɕːat͡sːə,rtʰäpʰä,,,ʃəɾdʒˈvɛl
bark,,ˈlùːbjɛ,bark,tʼkʼɛbi,ˈkuːra,tʼɛpʰ,,,ˈku̯o.ra,,ˈpœr̥kʏr,,,,kaˈra,ruːs,kʰɛrkʰi,əsˈkɔɾ.sə,ɾˠuːsˠk,ˈpœɹ̥kʊɹ,korˈtettʃa,ˈr̥ɪskl̩,,ˈkɔ.ra,,ˈbɔʁkə,ʒʲɪəˈvʲěː,sxɔrs,,korˈteθa,,koˈra,e.kɔʁs,,,,,kɐˈra,tʼqʼɛbi,bɑs,,kɛˈʁɛv
thick,iʃ.ˈpe.su,ˈdɛ̀ːbɛw,tyk,pʼɛdʒi,ˈtlustiː,sgɛl,,,ˈtɫ̩stiː,,ˈθjɛhtʏr,,,,ˈtou̯stɨ,,skʰɛli,,tʲuː,t͡ʃʰʏʰkːʊɹ,ˈspes.so,teːu̯,,ˈɡru.bɨ,tʰʲu,dɪk,,dɪk,,ˈɡɾweso,,dɛˈbɛl,e.pɛ,ɡros,çʊkː,ɕɔk,,ˈtolstɨj,ʃχu,,,hɑst
wide,ˈlaɾ.ɡu,,,mbɔli,ˈʃɪrokiː,mäʃri,,ʃeˈrɔkei̯,,,ˈpreiːðʏr,plats,,,ʂɨˈrokʲi,,pʰärtʰɔ,,ˈl̠ʲahənˠ,ˈpɹaijʊɹ,ˈlarɡo,ˈɬədan,,ʂɛˈrɔ.kʲi,,bʀaɪ̯t,,,,ˈaɲ.tʃo,,ʃiˈrɔk,laʁʒ,larɡ,,viːd,ˈɟ͡ʝɛ.ɾə,ʂɨˈrokʲɪj,pʰärtʰɛ,,,lɑjn
that,ˈe.sɨ,,dən,ɛjä,ˈtamtɛn,ɛdʒi,,,tɛn,,,tas,,,toj,,is,əˈkəʃ,ənˠ,,ˈkwello,ˈhʊnʊ,aː,ˈtam.tɛn,ʃɪn,ˈjeːnɐ,,dɑt,,ˈese,,ˈɔnzi,sə,aˈt͡ʃela,,dɛnː,,tot,tʰinä,,,ɑjd
full,ˈʃɐj.u,ˈpɔ́ːwn,fuld,jɔpʰʃä,pl̩niː,gwɛʃi,,ˈpɔu̯nei̯,pl̩niː,,ˈfʏtɬʏr,pīlns,,ˈt͡ʃeo̝,ˈpou̯nɨ,lɛdn,sävsɛ,ˈplə,l̪ˠɑːnˠ,ˈfʊtlʊɹ,ˈpjɛno,ɬau̯n,,ˈpɛw.nɨ,lɑːn,fɔl,,vɔl,ˈpliris,,,ˈpɤlɛn,plɛ̃,plin,,fɵl,,ˈpolnɨj,ɛpʰʃä,fɔl,,ˈlikʰə
here,ɐˈki,ˈtúːkaj,,äkʰ,ˈtoto,ämɛtʃu,,,,,çɛːr,,,,,,äkʰ,əˈki,,,kwa,,,tu,,hiːɐ,tʃʲɛ,ɦir,,aˈki,ˈtuka,ˈtuk,i.si,aˈit͡ʃʲ,,hæːr,,zʲdʲesʲ,tʰäkʰ,,,ɑjsˈtɛʁ
tree,ˈaɾ.vu.ɾɨ,drɛˈʋóː,trɛː,ndʒä,strom,mɛgɛm,bɪə̯m,,strɔm,,tʰrjɛː,kùoks,ɡwe,,ˈdreva,ˈbilʲə,χɛ,ˈa.bɾə,kɾˠaun̪ˠ,tɹɛaː,ˈal.be.ro,ˈkɔɨ̯dɛn,t͡ʃeʈːu,ˈdʐɛ.vɔ,,baʊ̯m,ˈmʲæːdʲɪs,boːm,ˈðe̞n.dro̞,ˈarbol,,dərˈvɔ,aʁbʁ,ˈarbore,,,,ˈdʲerʲɪvə,dʒä,bʊəm,bɔjm,t͡sɑr
wind,ˈvẽ.tu,,ʋend,iχi,ˈviːtr̩,bikʰw,,ˈʋʲiter,ˈvi̯ɛtɔr,,ˈvɪntʏr,vɛ̄ːjʃ,ˈɑːvɛl,ˈbento̝,,ɡiː,kʰäri,,ɡeː,ˈvɪntʊɹ,ˈvɛn.to,,,vʲatr,,vɪnt,ˈʋʲeːjɛs,ʋɪnt,,ˈbjento,ˈvɛtɛr,ˈvʲatər,vɑ̃,,,vɪnd,ɛːɹ,ˈvʲetʲɪr,bɔriä,,,kʰɑˈmi
who,kẽ(j̃),ˈɡdòː,vɛm,min,ɡdo,jær,,ˈxtɔ,kto̞,,xʷɛːr,,piv,,xto,,vin,ˈki,ceː,kvøːr,k̟i,puːɨ̯,,ktɔ,koː,veːɐ̯,,ʋi,,ˈkjen,kɔj,kɔj,ki,,,,kuʃ,kto,mi,,,ɔv
horn,ˈʃi.fɾɨ,ˈróːk,,kʰrä,ˈrox,mitʃʼw,,,ˈrɔx,,hɔrtn,ɾaks,,ˈkɔɾno̝,,,rkʰä,ˈba.ɲə,əiɾˠk,hɔtn,ˈkɔr.no,kɔrn,,ruk,,hɔrn,ˈrä̌ːɡɐs̪,ɦoːrn,,ˈkwerno,,,kɔʁn,korn,hʊrn,,,rok,kʰä,,,jɛʁd͡ʒˈjuɾ
