,aa,ab,ae,af,ak,am,an,ar,as,av,ay,az,ba,be,bg,bh,bi,bm,bn,bo,br,bs,ca,ce,ch,co,cr,cs,cu,cv,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,ff,fi,fj,fo,fr,fy,ga,gd,gl,gn,gu,gv,ha,he,hi,ho,hr,ht,hu,hy,hz,ia,id,ie,ig,ii,ik,io,is,it,iu,ja,jv,ka,kg,ki,kj,kk,kl,km,kn,ko,kr,ks,ku,kv,kw,ky,la,lb,lg,li,ln,lo,lt,lu,lv,mg,mh,mi,mk,ml,mn,mr,ms,mt,my,na,nb,nd,ne,ng,nl,nn,no,nr,nv,ny,oc,oj,om,or,os,pa,pi,pl,ps,pt,qu,rm,rn,ro,ru,rw,sa,sc,sd,se,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tl,tn,to,tr,ts,tt,tw,ty,ug,uk,ur,uz,ve,vi,vo,wa,wo,xh,yi,yo,za,zh,zu,
bird,,,,,,,pa(j)ˈʃaro,tˁaːʔir,sɔɹaɪ,,,ɡuʃ,qʊ̞ʂ,,ˈptitsə,,,,,*bʲa,,,ˈaw,,,,,ptaːk,,,aˈdɛrɨ̞n,fuːl,ˈfoːɡəl,,,,puˈli,bɜːd,ˈbirdo,ˈpaxaɾo,lˈind̥,ˈtʃo.ɾi,pʰæɾænˈde,,,,,wa.zo,,eːnˠ,ian,,,,ˈoʒaɡ,,t͡siˈpoʁ,t͡ʃɪ.ɽiː.jɑː,,,z,ˈmɒdaːr,tʰərˈtʃʰun,,,,,,,,uˈt͡selo,fʏkl,uˈt͡ːʃɛlːo,,⟨to2ri⟩,,pʰrinvɛli,,,,ˈqʊs,,pk̥sī,,sʰe̞ː,,,,,,,ˈa.wis,ˈfuʁəl,,,,nok˦,ˈpɒʊk.ʃtʲɪs,,,,,,ˈpti.t͡sa,,ʃʊwʊ,,buroŋ,asˈfuːr,ŋ̊ɛʔ,,,,,,ˈvoːɣəl,fʉɡl,,,,ᵐbáˈɽa.me,awˈsɛl,,,,,,,ptak,marˈɣa,ˈpa.sa.ɾu,,,,,ˈptʲit͡sə,,ʋí,,,ˈlodːdiː,,,ˈftaːk,ˈptítʃ,,,,zɔɡ,,,,,foːɡəl,,,pakʂi,paɾːanˈda,nok̚˦˥,,,,,,,,,,,quʃ,ˈptɑx,,,,t͡ɕim˧˧,bød,,,íⁿtaːka,fɔjɡl,,ɣok˧,,íɲoːni,
dog,,,,ɦɔnt,,,,kalb,kukuɹ,,,,ɪ̞t,,ˈkutʃɛ,,,,kukuɾ,*kʰʲi,,,ˈɡos,,,,,pɛs,,,kiː,hun,hʊnt,,,,ˈscilos,dɒɡ,ˈhundo,ˈpero,,tʃa.ˈkur,sæɡ,,ˈkoi̯rɑ,,ˈhʊntʊɹ,ʃjɛ̃,huːn,ˈmˠad̪ˠɾˠə,kuː,,,,ˈmɔːðə,,,kʊt̪.t̪ɑː,,,,ˈkucɒ,ʃun,,,aɲ.dʒiŋ,,,kʰɯ˧,,ˈhundo,ˈhʏntʏr,ˈka.ne,,inɯ̟ᵝ,,dzɑɣli,,,,,,c̥ʰkae,,ke̞ː,,,,,kiː,,ˈka.nis,hont,,,,maː˩˨,ʂuə,,,,,,,nɑːjə,nɔxɔi,,and͡ʒeŋ,kɛlp,kʰwé,,,,,,ɦɔnt,,,,,ˈɡa.ɽú,ˈɡus,,,,,,,pʲɛs,,ˈkɐ̃w̃,,,,ˈkɨj.ne,sɐˈbakə,,ɕʋɐ́n̪,,,ˈpea̯na,,,ˈpɛs,ˈpə́s,,,,cɕɛn,,,,,hɵnd,,,kukːa,sæɡ,maː˩˩˦,,,,ǹ.tʃá,,cøˈpec,,,,,it,,kutɑː,,,t͡ɕɔ˧˦,doɡ,,xaɟ,íːⁿd̥ʒǎ̤,hʊnt,,ma˨˦,,îːɲdʒá,
louse,,,,,,,,qam.la,,,,bit,bɪ̞t,voʂ,ˈvɤʃkə,,,,,,ˈlɔw,,ˈpoʎ,,,,,ˈvɛʃ,,,ˈɬeɨ̯ɛn,,laʊ̯s,,,,,laʊs,,ˈpjo.xo,tˈæi̯,,ʃeˈpeʃ,,tæi,,lʉuːs,pu,,,,,,,,,,dʒũː,,,,ˈtɛtyː,vɔˈt͡ʃʰil,,,,,,,,ˈlau̯.so,luːs,pi.ˈdɔk̚.kjo,,ɕiɾa̠mʲi,,,,,,,,cai,,i,,,,,,,ˈpeː.dis,,,,,,,,,,,,ˈvɔʃka,,poːs,,kutu,,θáɴ,,,,,,lœy̯s,,,,,ˈⁿsa.ɓʷe,peˈzul,,,,,,,vɛʂ,,pi.ˈo.ʎu,,,,,voʂ,,,,,,,,ˈvɔʃ,ˈúːʃ,,,,mɔr,,,,,,,,,,haw˩˩˦,,bit̪,,,,ˈbit,,,,,,ˈwɔʃɐ,dʒũː,,,zən˧˨ʔ,,,,,,,,,íntwáːla,
snake,,,,slɑŋ,,,,θuʕ.baːn,xap,,,,jɯ̞.ˈɫɑn,zʲmʲaˈja,zmiˈja,,,,ʃɑp,*zbrul,ˈnaɛr,,ˈseɾp,,,,,ɦat,,,nei̯dr,,ˈʃlaŋə,,,,ˈfiði,ˈsneɪk,serˈpento,serˈpjente,,,mɒːɾ,,ˈkæːrmeˣ,,,sɛʁ.pɑ̃,,ˈn̪ˠæhəɾʲ,,ˈsɛɾpe̝,,,,,naˈχaʃ,sɑ̃ːp,,,kuˈlɛv,ˈkiːɟoː,ɔt͡sʰ,,,,,,,,,ˈstnauːkʏr,serˈpɛn.te,,pemi,,ɡvɛli,,,,,,bs´,,pe̞ːm,,,,,,,ˈan.ɡʷis,ʃlaːŋ,,,,ŋuː˦˥,ɡʲiːˈʋaːtʲeː,,tʃūska,,,,,,mɔɢɔi,,ula(r),,mwè,,,,,,slɑŋ,,,,,ˈⁿd͡ʒó.ka,,,,,,,,vɔŋʂ,,ˈkɔ.bɾa,,,,ˈʃarpe,zmʲɪˈja,,s̪ɐɽ.pɐ́,,,ˈkea̯rpmaʃ,,,ˈɦat,ˈkàːtʃa,,,,ˈɟ͡ʝaɾpəɹ,,,,,ˈʊrm,ˈɲɔ.kɑ,,paːmu,mɔːr,ŋuː˧,,jɯlaːn,,,,jɯ.ˈɫɑn,,,,,jilɑn,,sãp,,,zan˧˦,snek,,,,ʃlaŋ(ɡ),,ŋɯ˧˩,,íɲôːɠa,
worm,,,,,,tʰɨl,,duː.da,,,,,qʊ̞rt,,ˈtʃɛrvɛj,,,,,,pʁɛ̃,,ˈkuk,,,,,ˈt͡ʃɛrf,,,,,,,,,sku.ˈli.ci,wɜːm,ˈvermo,ɡuˈsano,,,,,ˈmɑto,,,vɛʁ,,pʲeːʃtʲ,,ˈbɛɾme̝,,,beˈʃtʲeːɡ,,toˈla(ʔ)at,kiː.ɽɑː,,,,ˈkukɒt͡s,vɔɾtʰ,,,,,,,,,ˈmaθkʏr,ˈvɛrme,,d͡zẽ̞ɲ̟t͡ɕɨᵝː,,tʃʼɪɑ,,,,,,ṭṅ̥kūv,,,,,,,,,ˈwer.mis,muə̯t,,,,,,,,,,,,,,,,,tìɡàʊɴ,,,,,,,,,,,,,,,,,,,ˈrɔ.bak,,ˈvɛɾ.mɨ,,,,,t͡ɕerfʲ,,,,,,,,ˈt͡ʃɛrw,ˈtʃə́rw,,,,kɾimb,,,,,,,,,kirm,nɔːn˩˩˦,,,,,,,,,,,,,kiɽa,,,zun˧˧,,,,,,,,,isíɓuːnɡú,
tree,ħʌɖʌ,,,bʊəm,,,,,ɡɔs,,,ɑˈɣɑd͡ʒ,ɑˈʁɑs,ˈdreva,dərˈvɔ,,,,ɡɑs,*ɕiŋ,ɡwe,,ˈa.bɾə,,,,,strom,,,ˈkɔɨ̯dɛn,trɛː,baʊ̯m,,,,ˈðe̞n.dro̞,tɹiː,ˈarbo,ˈarbol,,,deˈɾæxtʰ,,ˈpuː,,tɹɛaː,aʁbʁ,bɪə̯m,kɾˠaun̪ˠ,,,,,ˈbilʲə,,et͡s,,,,,ˈfɒ,t͡sɑr,,ˈar.bo.re,po.hon,,,sz̩̠˧,,,tʰrjɛː,ˈal.be.ro,,kɨ,,xɛ,,,,aˈʁaʃ,,ṭoemjʰoe,,na̠mu,,,,,,,ˈar.bor,baːm,,,,ton˥˧ mai˥˧,ˈmʲæːdʲɪs,,kùoks,,,,,,,d͡zʱaɖ,pokokʔ,ˈsɪdʒrɐ,θɪʔpɪ̀ɴ,,,,,,boːm,,,,,mˈté.ᵑɡo,,,,,,,,ˈdʐɛ.vɔ,ˈwəna,ˈaɾ.vu.ɾɨ,,,,ˈarbore,ˈdʲerʲɪvə,,,,,ˈmuo̯rra,,,strɔm,drɛˈʋóː,,,,,,,,,,,,t͡ʃeʈːu,,ton˥˩.maːj˦˥,,aɡat͡ʃ,,,,a.át͡ʃ,,,,,,,,,,kəj˧˧,bim,,,úm̩ːtʰí,bɔjm,,fai˦˨,,úmuːtʰí,
forest,,,,bɔs,,,,ɣaː.ba,ɦa.bi,,,,urˈmɑn,lʲes,ɡoˈra,,,,,*ɕiŋ.naks,ˈkwɑːt,,ˈbɔsk,,,,,lɛs,,,ˈkɔɨ̯dwɪɡ,,valt,,,,ˈðasɔs,ˈfɒɹɪst,arˈbaro,ˈboske,,,beːˈʃæ,,ˈmetsæ,,,fɔ.ʁɛ,,kiːlʲ,ˈkʰɤʎə,ˈbɔske,,,kiːlʲ,,ˈja(ʕ)aʁ,,,,,ˈɛrdøː,ɑnˈtɑr,,,hu.tan,,,,,,ˈskouːʏr,,,mo̞ɾʲi,,tʼqʼɛ,,,,,,b̥rai,,sʰup̚,,,,,,,ˈsil.wa,beʃ,,,,,ˈmɪʂ.kɐs,,,ˈa.la,,,ˈʃuma,,,,hutan,,tɔ́,,,,,,ʋɑu̯t,,,,,,,,,,,,,las,d͡zəŋɡəl,floˈɾɛs.ta,,,,pə.ˈdu.ɾe,lʲes,,ʋɐ́.n̪ɐ,,,,,,ˈlɛs,ˈɡɔ́st,,,,pyɫ,,,,,skuːɡ,,,,beʃæ,paː˨˩,,,,,,,,,,,,,,,,zɨŋ˨˩,,,,,,,ɗoŋ˨˦ fai˦˨,,îːɬâːtʰi,
stick,,,,,,,,ʕa.sˁan,,,,,tɑ.ˈjɑq,,ˈprɤtʃkə,,,,,,,,,,,,,ɦuːl,,,,kɛp,ʃtaːp,,,,,stɪk,,,,,t͡ʃoːb,,ˈke̞pːi,,,bɑ.tɔ̃,,ˈbˠat̪ˠə,,,,,,,,t͡ʃʰə.ɽiː,,,,ˈbot,pʰɑjt,,,,,,,,,ˈstaːvʏr,basˈtone,,,,dʒɔxi,,,,,,ṭṃpṅ,,mak̚d̬ɛːɡi,,,,,,,ˈba.ku.lum,,,,,,lɐzˈdɐ,,,,,,stap,,,,bataŋ,,doʊʔ,,,,,,,,çɛp,,,,,,,,,,,kʲij,,ˈpaʊ,,,,,ˈpalkə,,,,,,,,,,,,,,,,,,ɕɛp,,,,tʃɵb,dun˥˩,,,,,,tʃubuk,,,,,,,,,,ɣəj˧˨ʔ,,,,,,,,,índuːɠu,
fruit,,,,,,,,faː.ki.ha,,,,mɛjvæ,jɪ̞ˈmɪ̞ʃ,,plɔt,,,,pʰɔl,*ɕiŋ.tok,fʁwɛs,,,,,,,ˈovot͡sɛ,,,fruːɨ̯θ,frɔɡt,fʁʊxt,,,ˈkʊˌtʃɛˌtʃɛ,,fɹuːt,ˈfrukto,ˈfɾuta,,,miːve,,ˈhedelmæ,,,fʁɥi,,ˈt̪ˠɔɾˠə,,ˈfɾojta̝,,,meːs,,pʁi,pʰəl,,,,ˈɟymølt͡ʃ,pəˈtuʁ,,,,,,,,ˈfruk.to,ˈauːvœxstʏr,ˈfru.tːo,,,,χɪlɪ,,,,,,p̥ʰlaejʰoe,,ˈkwa̠ːiɭ,,,,,,,ˈfruːk.tus,,,,,,ˈvai̯sʲʊs,,âwɡlis,,,,,,ur,,buah,,ʔəθí,,,,,,vrʏxt,,,,,t͡ʃiˈpá.t͡so,,,,,,,,ˈɔ.vɔt͡s,,ˈfɾu.ta,,,,,plot,,pʰɐ́.l̪ɐ,,,,,,ˈɔvɔt͡si̯ɛ,ˈsáːdɛʃ,,,,,,,,,ˈfrɵkt,,,paɳɖu,mevæ,luːk̚˥˩,,,,,,,,,,,,,pʰəl,,,kwaː˧˩,fluk,,,,fʁʊχt,,maːk˧˥,,isítʰeːlo,
seed,,,,,,,,,ɡu.ti,,,toˈχum,ʊ̞rˈɫʊ̞q,naˈsʲenʲːe,ˈsɛmɛ,,,,,,,,ʎəˈvo,,,,,ˈsɛmɛno,,,haːd,sɛːd,ˈzaːmən,,,,ˈspo̞ro̞s,siːd,,,,,t̪ʰoχm,,,,fɹɛaː,sə.mɑ̃s,,ʃiːl,,seˈmɛnte̝,,,,,,,,,,ˈmɒɡ,sɛɾm,,,,,,,,,fraiː,ˈseme,,ta̠ne̞,,tʰɛsli,,,,,,g̥rāp´būj,,ɕ͈i,,,ˈtov,,,,ˈseː.men,zoːm,,,,,ˈsʲeːklɐ,,,,,,,,ur,,bəneh,zɛrˈrɪːja,ʔəsḭ,,,,,,zaːt,frøː,,,,ˈᵐbé.(w)u,,,,,,,,naˈɕɛ.ɲɛ,,sɨˈmẽtɨ,,,,səˈmɨntsə,ˈsʲemʲə,,bíː.d͡ʑɐ,,,,,,ˈsɛmɛnɔ,ˈsèːmɛ,,,,ˈfaːɾ,,,peo,,,,,,tuxm,ma˦˥.let̚˦˥.pʰan˧,,,,,,,,,,,,ˈsʲimjɐ,,,,hot̚˧˨ʔ,,,,,ˈzɔɪ̯mn̩,,,,ímbêːwu,
leaf,,,,blɑːr,,,,wa.ra.qa,,,,jɑrˈpɑχ,jɑpˈrɑq,lʲist,,,,,,*lo.ma,ˈde.ljɛ̃n,,ˈfu.ʎə,,,,,ˈlɪst,,,ˈdei̯lɛn,blad,blat,,,,ˈfilo̞,liːf,fo.ˈli.o,ˈoxa,,,bæɾɡ,,ˈlehti,,blɛaː,fœj,,ˈdʲɪloːɡ,,ˈfo.ʎɐ,,,ˈd̪olʲaɡ,,(ʔ)aˈla,,,,,ˈlɛveːl,tɛˈɾɛv,,,,,,,,,løyːv,ˈfɔʎʎa,,pa,,pʰɔtʰɔlɪ,,,,,,s̥lẏk,,ip̚,,,,,,,ˈfo.li.um,,,,,baɯ˩˨,,,,,,,,,,,daon,ˈwɛrʔɐ,ʔəjwɛʔ,,,,,,blɑt,,,,,ˈt͡sa.ᵐba,ˈfɥɛʎo,,,,,,,lʲiɕt͡ɕ,pɑˈɳa,ˈfo.ʎɐ,,,,ˈfrun.zə,lʲist,,,,,ˈlasːta,,,ˈlist,ˈlíːst,,,,,,,,,,,,aːku,,baj˧,,,ˈda.hon,,,jɑpˈɾɑk,,,,,,,pətːiː,,,laː˧˦,,,,,blat,,,,íːkʰaːsi,
root,,,,,,,,d͡ʒa.ða.ra,xia,,,kœk,tɑˈmɯ̞r,ˈkoranʲ,ˈkɔrɛn,,,,,*rt͡sa.ba,,,əˈrɛl,,,,,ˈkor̝ɛn,,,ɡwrai̯ð,roːd,ˈvʊʁt͡sl̩,,,,,ɹuːt,raˈdiko,raˈiθ,,,ɾeːʃæ,,,,ɹɔuːt,ʁa.sin,,fʲɾʲeːvˠ,,raˈiθ,,,,,ˈʃoʁɛʃ,d͡ʒəɽ,,,,ˈɟøkeːr,ɑɾˈmɑt,,,,,,,,,rouːt,raˈditʃe,,ne̞,,pʰɛsvi,,,,,,ṛs,,p͈uɾi,,,ˈɾɛh,,,,ˈraː.diːks,ˈvuə̯t͡səl,,,,hâːk,ʃɐkʲˈn̪ʲɪs̪,,,,,,,,untəs,,aka(r),,ʔəmjɪʔ,,,,,,ˈʋɔr.təl,ruːt,,,,ˈmu.zu,rraˈis,,,,,,,ˈkɔ.ʐɛɲ,,ʁa.ˈis,,,,,ˈkorʲɪnʲ,,,,,ˈruo̯htas,,,ˈkɔrɛɲ,kɔrɛˈnìːna,,,,rəːɲ,,,,,,,,ʋeːru,reʃæ,raːk̚˥˩,,,,,,,,,,,,ˈkɔrʲinʲ,d͡ʒəɽ,,,ze˦ˀ˥,,ʀɛ.sɛn,,,,,,,ímpâːnde,
bark,,,,bɑs,,,,li.ħaːʔ,ba.kɔ.li,,,,qɑˈβɯ̞q,kaˈra,koˈra,,,,,,,,əsˈkɔɾ.sə,,,,,ˈkuːra,,,ˈr̥ɪskl̩,bark,ˈbɔʁkə,,,,,bɑːk,arboˈʃelo,korˈteθa,,,,,ˈpuːŋˌkuɔri,,ˈpœɹ̥kʊɹ,e.kɔʁs,,ɾˠuːsˠk,,,,,ruːs,,,tʃʰaːl,,,,ˈkeːrɛɡ,kɛˈʁɛv,,,,,,,,kor.ti.t͡so,ˈpœr̥kʏr,korˈtettʃa,,,,kʰɛrkʰɪ,,,,qɑˈbəq,,,,na̠muk͈ʌ̹p̚t͡ɕ͈iɭ,,,,,,,ˈkor.teks,ʃuəl,,,,,ʒʲɪəˈvʲěː,,,,,,,,xɔɮtʰəs,,,,ʔəkʰaʊʔ,,,,,,sxɔrs,,,,,,,,,,,,,ˈkɔ.ra,,,,,,,kɐˈra,,ʋɐl̪.kɐ́,,,,,,ˈku̯o.ra,ˈlùːbjɛ,,,,,,,,,,,,,pɵːst,plɯa̯k̚˨˩,,,,,,,,,,,,,cʰal,,,vɔ˧˩,,,,,,,naŋ˨˦,,îːᶢǁʱôːlo,
flower,,,,,,aβəβa,,zah.ra,pʰul,,,t͡ʃiˈt͡ʃæk,sæsˈkæ,,t͡svʲat,,,,pʰul,*me.tok,blœ̃w,,ˈflɔ,,,,,ˈkvjɛt,,,ˈblɔdɨ̞n,,ˈblyːtə,,,,ˈanθɔs,ˈflaʊ.ə,ˈfloro,ˈfloɾ,,,ɡʊl,,ˈkukːɑ,,ˈblɔuma,flœʁ,blom,bˠl̪ˠɑː,,,,,,,,pʰuːl,,,,ˈviraːɡ,t͡sɑˈʁik,,,,,,,,,plouːm,,,pana,,qʼvɑvili,,,,,,p̥ʰkā,,k͈o̞t̚,,,,,,,floːs,blum,,,,dɔːk˨˩ mai˥˦,,,,,,,,,,,buŋə,ˈfjuːrɐ,páɴ,,,,,,blum,bluːm,,,,ˈɗu.(w)a,,,,,,,,kfʲat,ɡwəl,ˈfloʁ,,,,flo̯are,t͡svʲɪˈtok,,púʂ.pɐ,,,ˈraːssiː,,,ˈkvɛt,ˈtsʋéːt,,,,ˈlulɛ,,,,,blʊ.ma,,,puʋːu,ɡul,dɔːk̚˨˩,,,,,,tʃɪˈtʃɛc,,,,,ɡyl,ˈkʋʲitkɐ,pʰul,,,hwaː˧˧,,,,,blʊm,,,,ímbaːli,
grass,,,,,,,,ħa.ʃiːʃ,ɡʱãʱ,,,,ʏˈlæn,,trɛˈva,,,,,*rt͡sʷa,ˈɡɛwt,,ˈeɾ.bə,,,,,ˈtraːva,,,ˈɡlaswɛɬd,,ɡʁaːs,,,,,ɡɹɑːs,ˈherbo,ˈpas.to,,,sæbze,,ˈheinæ,,kɹɛaːs,ɛʁb,ɣɛːs,fʲeːɾˠ,ˈfiəɾ,ˈɛɾβa̝,,,feːə,,ˈdeʃe,,,,z,ˈfyː,χɔt,,,,,,,,,kraːs,ˈɛrba,,kɯ̟̊ᵝsa̠,,bɑlɑxi,,,,,,s̥mau,,,,,,,,,ˈher.ba,ɡʀaːs,,,,ɲaː˨˩,ʒoˈlʲeː,,,aʔit͡ʂạ,,,,,ows,,,ħɐˈʃiːʃ,mjɛʔ,,,,,,ɣrɑs,ɡrɑːs,,,,ˈu.d͡zú,ˈɛrβo,,,,,,,ˈtra.va,,ˈɡɾɐ̃mɐ,,,,ˈjar.bə,trɐˈva,,t̪ŕ̩.ɳɐ,,,ˈsitnuː,,,ˈtraːva,ˈtràːʋa,,,,baɾ,,,,,,,,ɡaɖːi,sæbzæ,jaː˥˩,,ɔt,daˈmo,,,ɔt,,,,,,,,,,kɔ˧˩,,,,,ɡʁɔz,,ɲɯ˥,,útʃâːni,
rope,,,,,,,,ħabl,zɔ.ɹi,,,,ɑrˈqɑn,vʲaˈrou̯ka,vəˈʒɛ,,,,,,kɔrdɛn,,ˈkɔɾ.də,,,,,,,,r̥aːf,tɔv,zaɪ̯l,,,,,ɹəʊp,ˈʃnuro,ˈkwerda,,,,,,,,kɔʁd,,tʲiad̪ˠ,,,,,,,ˈχe.vel,ɖoː.ɾiː,,,,ˈkøteːl,pɑˈɾɑn,,,,,,,,ˈkor.do,ˈreiːpɪ,ˈkɔrda,,,,tʰɔkʼɪ,,,,,,k̥ʰsae,,pa̠t̚t͡ɕ͈uɭ,,,,,,,ˈfuː.nis,zeːl,,,,,,,àwkla,,,,ˈjaʒɛ,,,,tali,,t͡ɕó,,,,,,,,,,,,,,,,,,,ˈlʲi.na,,ˈkɔɾ.dɐ,,,,,vʲɪˈrʲɵfkə,,,,,,,,ˈɫanɔ,,,,,liˈtaɾ,,,,,,,,,ærʁæmtʃin,t͡ɕʰɯa̯k̚˥˩,,,,,,,,,,,,,,,,zəj˧˧,,,,,,,,,íntaːmbo,
skin,,,,,,,,d͡ʒild,sal,,,dæˈri,tʲi.ˈrɪ̞,ˈskura,ˈkɔʒə,,,,,,ˈkʁoːχɛn,,ˈpeʎ,,,,,ˈkuːʒɛ,,,kroːɨ̯n,,haʊt,,,,ˈðɛɾma,skɪn,ˈhaw.to,,,,poːst,,ˈiho,,,po,,ˈkɾˠacən̪ˠ,,,,,ˈkraːɣən,,ɔʁ,t̪ʋə.t͡ʃɑː,,,,ˈbøːr,mɑʃk,,,,,,,,,huːð,ˈpɛlle,,,,kʼɑnɪ,,,,,,s̥paek,,sʰa̠ɭɡa̠t̚,,,ˈt͡ʃɛɾm,,,,ˈku.tis,hæu̯t,,,,,ˈôːd̪ɐ,,âːda,,,,,,arʲs,,kulet,ˈdʒɪldɐ,ʔəjè,,,,,,ɦœy̯t,,,,,ˈkʰu.ᵑɡú,pɛl,,,,,,,ˈsku.ra,,ˈpɛ.lɨ,,,,ˈpjele,ˈkoʐə,,,,,ˈlijːkiː,,,ˈkɔʒa,ˈkòːʒa,,,,ləkuɹə,,,,,hʉːd,ˈŋɡɔ.zi,,tʃarmamu,pɵːst,pʰiw˩˩˦.naŋ˩˩˦,,,ba.ˈlat,,,,,,,,,,t̪ʋətʃaː,,,zaː˧˧,,,,,heɪt,,naŋ˨˦,,isíkʰuːmba,
meat,,,,fləis,,,,laħm,maŋxɔ,,,,it,ˈmʲasa,mɛˈsɔ,,,,maŋʃo,*ɕa,,,ˈkaɾn,,,,,ˈmaso,,,kiːɡ,,flaɪ̯ʃ,,,,ˈkre̞as,miːt,viˈando,ˈkarne,,,ɡoːʃt,,ˈliɦɑ,,t͡ʃʰøːʰt,vjɑ̃d,flai̯s,fʲoːlʲ,,,,,feːlʲ,,bɔˈsɔr,ɡoːʃt̪,,,,ˈhuːʃ,mis,,,,,,,,,kʰjœːt,ˈkar.ne,,ɕiɕi,,xɔrtsi,,,,,,sāc´,,ko̞ɡi,,,,,,,ˈka.roː,fleːʃ,,,,,,,ɡaʎa,,,,,,max,,daɡeŋ,,ʔəθá,,çœt,,,,vleːs,çøːt,,,,ˈɲa.ma,,,,,,,,ˈmʲɛ̃.sɔ,ɣwaˈ.ʂa,ˈkaɻ.ne,,,,ˈkarne,ˈmʲasə,,mɑ̃ː.s̪ɐ́,,,ˈpie̯rːkuː,,,ˈmæso,mɛˈsóː,,,,miʃ,,,,,ɕœtː,,,,ɡɵːʃt,nɯa̯˦˥,,,,,,ɛt,,,,,,ˈmjɑsɔ,,,,tʰit̚˧˨ʔ,,,,,flɛɪʃ,,no˧,,íɲaːma,
blood,,,,blut,,,,,,,,ɡɑn,qɑn,,krɤf,,,,,*kʰrak,ˈɡwaːt,,ˈsaŋk,,,,,krɛv,,,ˈɡwaːi̯d,bloːd,bluːt,,,,ˈema,blʌd,ˈsanɡo,ˈsanɡɾe,,,xuːn,,ˈʋeri,,plɔuːw,sɑ̃,bluə̯t,fˠɪlʲ,,,,,folʲ,,,kʰuːn,,,,ˈveːr,ɑɾˈjun,,ˈsaŋ.ɡwi.ne,,,,sz̩˧,,,plouːð,ˈsan.ɡwe,,,,sisxli,,ðàkámɛ́,,ˈqɑn,,jʰām,,pʰi,,,,,,,ˈsan.ɡʷis,blut,,,,,krɒ͜úˑjæs,,asinis,,,,kr̩f,,t͡sʰʊs,,darah,dɛmː,θwé,,,,,,blut,bluː,,,,maˈɡa.zi,,,,,,,,krɛf,,ˈsɐ̃.ɡɨ,,,,ˈsɨn.d͡ʒe,krofʲ,,ɐ́.s̪r̩d͡ʑ,,,ˈvarra,,leː,ˈkr̩w,ˈkríː,,,,ɟ͡ʝak,,,,,,,,,xun,lɯa̯t̚˥˩,,ɡaːn,,,,ˈkɑn,,,,,,ˈkrɔu̯,,,,maw˧˦,,,,íɡ̊a̤ːz̥i̤,blʊt,,lɯːt˧,,íːɡaːzí,
bone,,,,,,,,ʕaðˁm,,,,syˈmyk,hʏ̞.ˈjæk,kosʲt͡sʲ,kɔst,,,,,,ˈas.kɔrn,,ˈɔs,,,,,kost,,,,knɔɡlə,ˈknɔχn,,,,o̞ˈsto̞,boʊn,ˈosto,ˈweso,,,ostoxɒn,,ˈluː,,bain,ɔs,,knɑːvʲ,,ˈɔso̝,,,kreːw,,ˈʕɛsˀɛm,ɦəɖ.ɖiː,,,,ˈt͡ʃont,vɔsˈkɔɾ,,,,,,,,,ˈpeiːn,ˈɔsso,,pone,,dzvɑli,,,,,,c̥ʰʾẏṅ,,,,,,,,,oːs,ʃɑŋk,,,,,ˈkä̂ˑʊ̯ɫɐs̪,,,,,,,,,,tulaŋ,ˈaˁːdmɐ,ʔəjó,,,,,,beːn,bæɪn,,,tsʔɪn,ˈfú.pa,ˈɔs,,,,,,,kɔɕt͡ɕ,,ˈo.su,,,,os,kosʲtʲ,,ɐ́s̪.t̪ʰi,,,ˈtaːkːtiː,,,ˈkɔsc,ˈkóːst,,,,,,,,,ˈbeːn,,,,ustuxɔːn,kra˨˩.duːk̚˨˩,,,,,,ceˈmic,,,,,,,,,,sɨəŋ˧˧,bom,,,,,,,,îːtʰâːmbo,
fat,,,,,,,,,,,,,,,,,,,tʃorbi,,,,,,,,,,,,ˈbrastɛr,fet,fɛt,,,,ˈli.pos,fæt,ˈɡraso,ˈɡɾasa,,,tʃærbiː,,,,ˈfiːtɪ,ɡʁɛs,,sˠail̠ʲ,,,,,,,,,,,,ˈʒiːr,t͡ʃɑɾp,,,,,,,,,ˈfɪːta,ˈɡras.so,,ɕibo̞ː,,tsχɪmɪ,,,,,,k̥ʰlāñ´,,t͡ɕiba̠ŋ,,,,,,maj,ˈa.deps,,,,,,rʲɪəbɐˈlɐɪ̯ˑ,,,,,,,,oːx,,,,ʔəsʰì,,,,,,vɛt,,,,,,,,,,,,,twuʂt͡ʂ,,ɡoɹ.ˈdu.ɾa,,,,,ʐɨr,amavûta,,,,,,,tuk,,,,,,,,,,fɛt,mɑˈfut.ɑ,,koʋːu,,kʰaj˩˩˦.man˧,,,,,,ˈj‿a,,,,,,,tʃərbiː,,,məː˦ˀ˥,,,,,,,,,ámafûːtʰa,
