,aa,ab,ae,af,ak,am,an,ar,as,av,ay,az,ba,be,bg,bh,bi,bm,bn,bo,br,bs,ca,ce,ch,co,cr,cs,cu,cv,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,ff,fi,fj,fo,fr,fy,ga,gd,gl,gn,gu,gv,ha,he,hi,ho,hr,ht,hu,hy,hz,ia,id,ie,ig,ii,ik,io,is,it,iu,ja,jv,ka,kg,ki,kj,kk,kl,km,kn,ko,kr,ks,ku,kv,kw,ky,la,lb,lg,li,ln,lo,lt,lu,lv,mg,mh,mi,mk,ml,mn,mr,ms,mt,my,na,nb,nd,ne,ng,nl,nn,no,nr,nv,ny,oc,oj,om,or,os,pa,pi,pl,ps,pt,qu,rm,rn,ro,ru,rw,sa,sc,sd,se,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tl,tn,to,tr,ts,tt,tw,ty,ug,uk,ur,uz,ve,vi,vo,wa,wo,xh,yi,yo,za,zh,zu,
egg,,,,ˈəiər,,,,,kɔ.ni,,,jumurˈtɑ,kʏˈkæj,ˈjajka,jəiˈt͡sɛ,,,,ɖim,*zɡoŋ.ŋa,,,ˈɔw,,,,,ˈvɛjt͡sɛ,,,uːɨ̯,ɛːɡ,aɪ̯,,,,ta.oˈa,ɛɡ,ˈovo,ˈwebo,,,t̪ʰoχm,,,,ɛkː,œf,aːi̯,uː,u,ˈɔ.βʊ,,,au,,,ən.ɖɑː,,,,ˈtojaːʃ,d͡zu,,,,,,,,,ˈɛkː,ˈwɔ.vo,,ta̠ma̠ɡo̞,,kʼvɛrtsxi,,,,,,s′ut,,ta̠ɭɡja̠ɭ,,,,,ɔˑɪ,,ˈoː.wum,e,,,,kʰāi,,,uōla,,,,ˈjajt͡sɛ,,,,təlo(r),ˈbɐjdɐ,ʔṵ,,,,,,ɛi̯,ɛɡː,,,,ˈd͡zi.ɽa,,,,,,,,ˈja.jɔ,həɡəi,ˈo.vu,,,,ow,(j)ɪjˈt͡so,,,,,ˈmonniː,,,ˈvajt͡sɛ,ˈjàːjtsɛ,,,,,,,,,ɛɡː,,,ɡuɖːu,tuxm,kʰaj˨˩,,,ʔitˈloɡ,ˈlɪ.ɪ,,jumuɾˈta,,,,,,,,,,t͡ɕɨŋ˧˦,,,,íkǃaːⁿd̥ǎ̤,,,kʲai˧˥,,íːǃaːndá,
horn,,,,,,,,qarn,xiŋ,,,bujnuz,mʏ̞ˈɡʏ̞ð,,,,,,,,,,ˈba.ɲə,,,,,ˈrox,,,kɔrn,,hɔrn,,,,,hɔːn,,ˈkwerno,,,ʃɒx,,,,hɔtn,kɔʁn,,əiɾˠk,,ˈkɔɾno̝,,,,,,siːŋɡ,,,,ˈsɒrv,jɛʁd͡ʒˈjuɾ,,,,,,,,,hɔrtn,ˈkɔr.no,,ka̠do̞,,rkʰɑ,,ɾòheǎ,,,,s̥naeṅ,,p͈uɭ,,,,,,,ˈkor.nuː,,,,,kʰao˩˨,ˈrä̌ːɡɐs̪,,ɾaks,,,,,,ewər,,,,d͡ʑò,,,,,,ɦoːrn,hʊrn,,,,,,,,,,,,ruk,,ˈʃi.fɾɨ,,,,korn,rok,,ɕr̩ŋ.ɡɐ́,,,ˈt͡ʃoɑ̯rːviː,,,ˈrɔx,ˈróːk,,,,,,,,,,,,,ʃɔːx,kʰaw˩˩˦,,,,,,,,,,,,,sĩɡ,,,sɨŋ˨˩,,,,,,,,,úːpʰoːndo,
tail,,,,,,,,ða.nab,nɛz,,,ɡujˈruɣ,qʊ̞j.ˈrʊ̞q,xvost,,,,,,,,,ˈku.ə,,,,,ɔtsas,,,ˈkənfɔn,haːlə,ʃvant͡s,,,,,teɪl,ˈvosto,ˈkola,,,dæm,,ˈhæn̪t̪æ,,,kø,,ˈɾˠɨbˠəl̪ˠ,,ˈraβo̝,,,,,,pũːt͡ʃʰ,,,,ˈfɒrok,pɔt͡ʃʰ,,,,,,,,,ˈhaːlɪ,ˈkoda,,ɕip̚po̞,,kʼudi,,,,qʊjˈrəq,,kn̥duy,,k͈o̞ɾi,,,,,,,ˈkau̯.da,,,,,,,,astɛ,,,,ˈɔpaʃka,,,,eko(r),,ʔəmí,,,,,,staːrt,,,,,ˈmt͡ʃí.ɽa,,,,,,,,ˈɔ.ɡɔn,,ˈʁa.bu,,,,ˈkʷadə,xvost,,,,,,,,ˈxvɔst,ˈrɛ́p,,,,,,,,,svans,,,,dum,haːŋ˩˩˦,,,,,,kujɾuc,,,,,,,,,,ʔɗuəj˧˧,,,,,,,,,úm̩sîːla,
feather,,,,,,,,,pakʰi,,,,qɑ.wɯ̞r.ˈhɯ̞n,,,,,,,,,,,,,,,ˈpɛːro,,,plɨː,fjeːr,ˈfeːdəʁ,,,,,ˈfɛð.ə(ɹ),ˈplumo,ˈpluma,ˈsulʲɡ̊,,por,,,,ˈfjøːvʊɹ,plym,,ˈclʲɛtʲə,,ˈplumɐ,,,,,,,,,,ˈtolː,pʰɛˈtuɾ,,,,,,,,ˈplu.mo,fjœːðʏr,ˈpjuma,,ha̠ne̞,ˈwu.lu,,,,,,,s̥lāp,,kit̚,,,,,,,ˈpluː.ma,ˈfie̯deʀ,,,,,,,spālva,,,,,,,,,ˈriːʃ,ʔətàʊɴ,,,,,,veːr,fjøːr,,,,ˈⁿtʰe.ᵑɡa,,,,,,,,ˈpʲu.rɔ,,,,,,fulɡ,pʲɪˈro,,,,,,,,,pɛˈróː,,,,,,,,,,,,iːka,pær,kʰon˩˩˦.nok̚˦˥,,,,,,tyj,,,,,,peˈrɔ,,,,ləwŋ͡m˧˧ vu˦ˀ˥,,,,,,,,,úːpʰaːpʰé,
hair,,,,,,,,ʃa.ʕa.ra,suli,,,sɑt͡ʃ,sæs,ˈvoɫas,koˈsa,,,,tʃul,,,,kəˈbəʎ,,,,,ˈvlasɪ,,,ɡwaːɬd,,haːɐ̯,,,dæ,,hɛə,ˈharo,kaˈbeʎo,,,mo,,,,hɔaːɹ,ʃə.vø,,ɡɾˠuəɟ,,kaˈβ̞elʊ,,,,,sa.ʔaˈʁa,bɑːl,,,,ˈhɒj,,,,,,,,,ˈharo,hauːr,,,,,tʰmɑ,,,,,,sk´,,mʌ̹ɾikʰa̠ɭ,,,,,,,ˈko.ma,hoː(e)ʀ,,,,,,,mats,,,,ˈkɔsa,,,,rambot,ʃaˁːr,zəbɪ̀ɴ,,,,,,ɦaːr,hoːr,,,ɑ̀t͡sʰìːɣɑ̀ʔ,,,,,,,ʋɑːl,,ˈvwɔ.sɨ,,kɐ.ˈβe.lu,,,,,ˈvoləsɨ,,kɐ́j.ɕɐ,,,,,,,ˈláːs,,,,ˈcimɛ,,,,,hoːr,,,,,pʰom˩˩˦,,,bu.ˈhok,,,sat͡ʃ,,,,,,wɔˈlɔsʲːɐ,bɒːl,,,tawk͡p̚˧˦,,,,,hɔʁ,,,,ûːnwéːle,
head,,aχˁə́,,,,ras̪,,ra.ʔa.sa,muɹ,,,bɑʃ,ˈbɑʂ,ɣaɫaˈva,ɡləˈva,,,,mat̪ʰa,*mɡo,pɛ̃n,,ˈkap,kuə.rtə,,ˈkabu,,ˈɦlava,,,pɛn,hoːvəd,kɔpf,,,,ce̞ˈfali,hɛd,ˈkapo,kaˈbeθa,,bu.ɾu,sæɾ,,pæː,,hœtː,tɛt,ˈholə,caun̪ˠ,,ˈtɛsta̝,,,caun,,ʁɔʃ,sɪɾ,,,,ˈfɛj,ɡəˈluχ,,,kə.pa.la,,,,,,hœːvʏθ,ˈtɛs.ta,,a̠ta̠ma̠,,tʰɑvi,,keɔ̀ᵑɡɔ̌,,,,k̥pāl,,mʌ̹ɾi,,,,,pɛnː,,ˈka.put,,,,,hua˩˨,,,ɡâlva,,,,,,tʰɔɮɢɔi,,kəpalə,ˈrɐːs,ɡáʊɴ,,,,,,ɦoːft,,,,,ˈmu.tú,kap,,,,,,,ˈɡwɔ.va,,kɐ.ˈβe.sɐ,,,,kap,ɡəlɐˈva,umutwê,,,,ˈoɑ̯jːviː,,,ɦɫava,ˈɡlàːʋa,,,,kɔkə,,,,,ˈhʉːˌvɵd,,,tala,sær,hua̯˩˩˦,,baʃ,,,,ˈbɑʃ,,,,,,ɦɔlɔˈu̯ɑ,,,,ʔɗəw˨˩,,,,íⁿtɬóːko,,,kʲau˥,,îːkʰâːnda,
ear,,,,ʊər,,,,ʔu.ðun,kan,,,,qʊ̞ˈɫɑq,ˈvuxa,uˈxɔ,,,,,*rna.ba,skwaʁn,,oˈɾə.ʎə,,,,,ˈuxo,,,klɨːst,øːrə,oːr,,,,aˈfti,ɪə̯,oˈrelo,oˈido,kˈɤrv,,ɡoːʃ,,ˈkorʋɑ,,ˈɔira,ɔ.ʁɛj,,klˠuəsˠ,,,,,kleːʃ,,,kɑːn,,,z,ˈfyl,ɑˈkɑnd͡ʒ,,,,,,,,oˈrelo,ˈeira,ɔˈrekkjo,,mʲimʲi,,,,,,,,t̥rciak,,kɥi,,,,,ˈskɔvarn,,ˈau̯.ris,ˈəʊ̯ɐ,,,,,ɐʊˈsʲɪs,,àws,,,,ˈuvɔ,,t͡ɕʰix,,təliŋə,ˈwɪdnɐ,ná,,,,,,oːr,,,,,ˈkʰu.tú,awˈɾeʎo,,,,,kənː,,ˈu.xɔ,ɣwaɡ,o(w).ˈvi.ðu,,,,uˈre.ke,ˈuxə,uɡutwî,,,,ˈpea̯ʎːʎiː,,,ˈu.xɔ,uˈxóː,,,,,,,,,øːra,,,tʃeʋi,ɡɵʃ,huː˩˩˦,,ɡʰulak,,tsɛ.bɛ,,ku.ˈɫɑk,,,,,,ˈwuxɔ,,,,taːj˧˧,,,,íⁿd̥ɮe̤ːɓé,ˈɔɪ.əʁ,,ɣɯ˧˩,,ínɮeːɓé,
eye,,,,oəχ,,,,ʕaj.ja.na,sɔku,ber,,,kʏð,ˈvoka,oˈkɔ,,,,tʃokʰ,*mik,ˈla.ɡat,,ˈuʎ,,,,,ˈoko,,,ˈɬəɡad,øjə,ˈaʊ̯ɡə,,mik̚˥.to˥,,ˈmati,aɪ,oˈkulo,ˈoxo,,,tʃʰæʃm,,ˈsilmæ,,ˈɛiːja,œj,ɪə̯x,sˠuːlʲ,s̪uːl,ˈoʎʊ,,,suːlʲ,,ˈajin,ɑ̃ːkʰ,,,,ˈsɛm,ɑt͡ʃʰkʰ,,ˈo.ku.lo,,,,,,oˈkulo,ˈøyːɣa,ˈɔk.kjo,,ma̠,,tʰvɑli,,ɾiìðɔ́ꜜ,,,,b̥ʰnaek,,nun,,,,,ˈlaɡas,,ˈo.ku.lus,a,,,,taː˩˨,ɐˈkʲɪs,,ats,,,,ˈɔkɔ,,,,matə,aˁːjn,mjɛʔsḭ,,,,,,oːx,²æʉɡə,,,,ˈɗí.so,,,,,,əkːʰ,,ˈɔ.kɔ,st̪ərˈɡa,ˈo.ʎu,,,,okʲ,ɡlas,,,,,ˈt͡ʃalːpmiː,,,ˈɔkɔ,ɔˈkóː,,,,sɒj,,,,,ˈøːˌɡa,,,kan̪ːu,tʃaʃm,taː˧,,ɡœð,,,,ɟøz,,,,,køz,ˈɔkɔ,ɑ̃ŋkʰ,,,mat̚˧˦,,,,íliːsó,,,ta˨˦,,îːsó,
nose,,,,nɪøs,,,,ʔanf,nak,,,buˈrun,tɑˈnɑw,,nɔs,,,,,*zna,ˈfriː,,ˈnas,,,,,nos,,,truːɨ̯n,ˈnɛːsə,ˈnaːzə,,,,ˈmiti,nəʊz,ˈnazo,naˈɾiθ,,,,,ˈnenæ,,nøːs,ne,,sˠɾˠoːnˠ,s̪t̪ɾɔːn,naˈɾiθ,,,st̪rudʲnʲ,,ʔaf,naːk,,,,ˈorː,kʰitʰ,,,,,,,,ˈnazo,nɛːv,ˈna.zo,,,,tsxviri,,,,,,c̥rmuḥ,,kʰo̞,,,,,,,,nuəs,,,,daŋ˩˧,,,,,,,,,,nak,hidoŋ,,n̥əkʰáʊɴ,,,,,,nøːs,,,,,ˈᵐpʰu.no,,,,,,,,nɔs,,nɐˈɾiʃ,,,,,nos,izûːru,,,,,,,,ˈnóːs,,,,,,,,,ˈnɛːsˌa,,,,biˈniː,t͡ɕa˨˩.muːk̚˨˩,,,ʔi.ˈlɔŋ,,,buˈɾun,,,,,,,,,,muj˦ˀ˥,nud,,,,,,,,íːkʰaːla,
mouth,,,,mɔnt,,,,fam,mukʰ,,,ɑˈɣɯz,ɑˈwɯ̞ð,rot,usˈta,,,dáà,mukʰ,*kʰa,ˈɡɵ̃ː.nu,,ˈbo.kə,,,,,ˈuːsta,,,keːɡ,mon,mʊnt,,kʰɑ˥,,,maʊθ,ˈbuʃo,ˈboka,,,d̪æˈhɒːn,,ˈsuː,,,buʃ,ˈmulə,bʲia̯l̪ˠ,piaɫ̪,,,,ˈbiəl,ˈbàː.kíː,,mũːʱ,,,,ˈsaːj,bɛˈɾɑn,,,,,,,,ˈbo.ko,ˈmʏnːʏr,ˈbokka,,kutu,,pʼiri,,kanua,,,,māt´,,ip̚,,,ˈdɛv,,,,oːs,mont,,,,,bʊrˈnɐ,,mutɛ,,,,,,am,,mulot,ħɐlʔ,pəzaʔ,,,,,,mɔnt,,,,,ˈka.mʷa,buko,,ɐfɑːn,,,,,ˈu.sta,xwlə,ˈbo.kɐ,,,,,rot,,ɑ́ːs̪,,,,,,ˈuːsta,ˈùːsta,,,,ˈɡɔjə,,,,,mɵn,,,noːru,dæˈhɔːn,paːk̚˨˩,,aɡɯð,,,,aːɯz,,,,,,ˈrɔt,,,,miəŋ˧˨ʔ,mud,,,úḿ̩loːmo,,,paːk˧˥,,uḿ̩loːmo,
tooth,,,,,,,,san.na,dãt,,,diʃ,tɪ̞ʃ,,zɤp,,,,d̪ɑt̪,*so,,,ˈdent,,,,,zup,,,dant,tan,t͡saːn,,,,ˈðɔndi,tuːθ,ˈdento,ˈdjente,,,dændɒːn,,ˈhɑmːɑs,,tʰɔnː,dɑ̃,,ˈfʲiəkəlʲ,,,,,,,,d̪ɑ̃ːt̪,,,,ˈfoɡ,ɑˈtɑm,,,ɡi.ɡi,,,dʐz̩˧,,ˈden.to,tʰœnː,ˈdɛnte,,ha̠,,kʼbili,,ìɣɛ̀ɣɔ̀ꜜ,,,,d̥ʰmeñ,,i,,,,,,,dens,,,,,kʰɛːw˨˩,,,zùops,,,,,,ʃud,,ɡiɡi,ˈsɪnːɐ,θwá,,,,,,tɑnt,tɑnː,,,,ˈd͡zí.no,,,,,,d̪ənd̪,,zɔmp,ɣɑʂ,ˈdẽ.tɨ,,,,ˈdinte,zup,,d̪ɐ́n̪.t̪ɐ,,,,,,ˈzup,ˈzóːp,,,,,,,,,ˈtand,,,pan̪ːu,dændɔːn,fan˧,,diːʃ,,,,diʃ,,,,,t͡ʃiʃ,,d̪ãt̪,,,zaŋ˧˧,,,,,tsɔn,,heːu˥,,îːzîːɲo,
tongue,,,,,,,,li.saːn,zi.bʱa,,,dil,tɪ̞l,jaˈzɨk,ɛˈzik,,,,,*lt͡ɕe,ˈtɛwt,,ˈʎəŋ.ɡwə,mʷɔt,,,,ˈjazɪk,,,ˈtavɔd,tɔnɡə,ˈtsʊŋə,,,,ˈɣlosa,tʌŋ,ˈlanɡo,ˈlenɡwa,kˈeːl,,zæˈbɒ(ː)n,,ˈkie̯li,,ˈtʰʊŋka,lɑ̃ɡ,,ˈtʲaŋə,tʰʲɛŋɡə,,,dʒibʱ,ˈtʃɛnʲə,,laˈʃɔn,dʒiːbʱ,,,,ˈɲɛlv,lɛˈzu,,ˈliŋ.ɡwa,,,,,,ˈlanɡo,ˈtʰuŋka,ˈliŋ.ɡwa,,ɕi̥ta̠,,ɛnɑ,,,,tɪl,,ʾṇ̥ṭāt,,çjʌ̹,,,ˈzɯmɑːn,,,,ˈlin.ɡʷa,t͡soŋ,,,,,,,mɛ̀ːlɛ,,,,ˈjazik,,xiɮ,,lidah,,ʃà,,,,,,tɔŋ,,,,,ɽiˈɽí.me,ˈleŋɡo,,,,əvˈʒak,,,ˈjɛ̃.zɨk,ˈʒəbə,ˈlĩ.ɡwɐ,,,,ˈlimbə,(j)ɪˈzɨk,,d͡ʑiɦ.ʋɑ́ː,ˈlimba,,ˈɲuo̯vtt͡ʃa,,,ˈja.zik,ˈjɛ̀ːzik,,,,ˈɟʑuhə,,,,,ˈtɵŋˌa,,,,zæˈbɔːn,lin˦˥,,,ˈdi.laʔ,,,ˈdil,,,,,,jɐˈzɪk,dʒiːbʱ,,,lɨəj˦ˀ˥,,,,,tsʊŋ(ɡ),,lin˦˨,,ûːlîːmi,
fingernail,,,,,,,,ðˁufr,,,,dɯrˈnɑχ,tɯ̞rˈnɑq,paˈznoɣat͡sʲ,ˈnɔkət,,,,nɔːkʰ,,,,ˈuŋ.ɡlə,,,,,,,,,najl,ˈfɪŋɐnaːɡl̩,,,,ˈniçi,ˈfɪŋɡɚˌneɪl,,ˈu.ɲa,,,nɒːxon,,ˈsormi,,,ɔ̃ɡl,,,,,,,,,,,,,,ˈkørøm,jɛˈʁunɡ,,,,,,,,,nœkl,ˈun.ɡja,,t͡sɨᵝme̞,,pʰrtʃxili,,,,,,,,sʰo̞ntʰo̞p̚,,,,,,,ˈun.ɡʷis,ˈfaŋeʀˌnoːl,,,,,,,,,,,nɔkt,,xʊms,,kuku,,lɛʔθɛ́,,,,,,,,,,,kʰáˈɗa.ɓo,,,,,,,,pazˈnɔ.kʲɛt͡ɕ,,ˈu.ɲɐ,,,,,ˈnoɡətʲ,,n̪ɐ.kʰɐ́,,,,,,ˈɲɛxt,ˈnóːxt,,,,,,,,,,,,ɡoːru,nɔːxun,lep̚˦˥.mɯː˧,,,,,,,,,,,,,,,,mawŋ͡m˧˦,,,,,,,,,úːziːpʰo,
foot,,,,,,,,ra.d͡ʒi.la,,,,ɑˈjɑχ,,naˈɣa,stəˈpalo,,,,,,,,ˈpɛw,,,,,ˈnoɦa,,,troːɨ̯d,foːd,fuːs,,,,ˈpoði,fʊt,piˈedo,pje,,,pɒː,,ˈjɑlkɑ,,ˈfɔuːtʊɹ,pje,,kɔsˠ,kʰas,ˈpɛ,,,,,ˈʁɛɡɛl,pɛːɾ,,,,ˈlaːb,vɔtkʰ,,,,,,,,ˈpedo,,ˈpjɛde,,a̠ɕi,,pʰɛxi,,,,,,joeṅ,,pa̠ɭ,,,ˈpiː,,troːz,,peːs,fou̯s,,,,,,,,,,,,,,,kaki,,t͡ɕʰè/,/t͡ɕì,,,,,,vut,fuːt,,,,ˈpʰa.zí,pɛ,,,,,pɛːɾ,,ˈstɔ.pa,,ˈpɛ,,,,piˈt͡ʃjor,nɐˈɡa,,pɐ́d̪,,,,,,ˈnɔɦa,stɔˈpàːlɔ,,,,kəm.bə,,,,,fuːt,,,,pɔːj,tʰaːw˦˥,,,,,,ɑˈjɑk,,,,,,,,,,ʔɓaːn˨˩ t͡ɕən˧˧,,,,,fʊs,,tin˨˦,,úːɲaːwo
leg,,,,,,,,ra.d͡ʒi.la,bʱɔ.ɹi,,,,ɑˈjɑq,naˈɣa,krak,,,,pa,*rkaŋ.pa,ˈɡɑːr,,ˈka.mə,,,ˈãka,,ˈnoɦa,,,koːɨ̯s,beːn,baɪ̯n,,,,ˈpoði,lɛɡ,ˈkruro,ˈpjerna,,,pɒː,,ˈjɑlkɑ,,,ʒɑ̃b,skoŋk,kɔsˠ,kʰas,,,,,,ˈʁɛɡɛl,,,,,ˈlaːb,vɔtkʰ,,,,,,,,,ˈfouːtʏr,ˈɡamba,,kʲa̠kɯ̟ᵝ,,pʰɛxi,,kòɣòɾòꜜ,,,,joeṅ,,ta̠ɾi,,,,,ɡarː,,kruːs,,,,,kʰaː˩˨,,,kāːja,,,,,,,,kaki,ˈrɪd͡ʒɛl,t͡ɕʰèdaʊʔ,,,,,,beːn,bæɪn,,,,ˈmʷe.ⁿdo,ˈkambo,,,,,,,ˈnɔ.ɡa,,ˈpɛɾ.nɐ,,,,,nɐˈɡa,ukuɡuru,,,,,,,ˈnɔɦa,nɔ̀ːɡa,,,,kəm.bə,,,,,ˈbeːn,,,kaːlu,,kʰaː˩˩˦,,,,,,badʒak,,,,,,,,,,t͡ɕən˧˧,,,,,fʊs,,ka˨˦,,uḿ̩leːnze,
knee,,,,,,,,ruk.ba,atʰu,,,,tuˈβɯ̞q,kaˈlʲena,koˈlʲano,,,,ˈɦaʈu,,ˈɡliːn,,ʒəˈnoʎ,,,djiˈnɔtju,,ˈkolɛno,,,,,kniː,,,,ˈɣɔnatɔ,niː,,roˈdiʎa,,,zɒːˈnuː,,ˈpolʋi,,knɛaː,ʒə.nu,,ɡl̪ˠuːnʲ,,ʃeˈonʎo̝,,,ɡlʲuːnʲ,,,ɡʱʊʈ.nɑː,,,,ˈteːrd,t͡suŋk,,,,,,,,ˈɡe.nu.o,n̥jɛː,dʒiˈnɔkkjo,,çiza̠,,muxli,,,,,,jṅ̥gṅ´,,muɾɯp̚,,,,,,,ˈɡe.nuː,knɜɪ̯,,,,,ˈkʲæ̌ːlʲɪs,,tsɛlis,,,,,,owtəɡ,,lutot,,dú,,,,,,kni,,,,,ˈɓó.ⁿdo,(d)ʒeˈnul,,,,,,,kɔˈla.nɔ,,ʒu.ˈe.ʎu,,,,dʒeˈnunkʲ,kɐˈlʲenə,,d͡ʑɑ́ː.n̪u,,,,,,ˈkɔlɛnɔ,kɔˈlèːnɔ,,,,,,,,,,,,,zɔːnu,kʰaw˨˩,,d̪ɯːð,,,,,,,,,tiz,,,,,ʔɗəw˨˩ ɣoj˧˦,,,,íd̥o̤ːlo,knɪ,,,,íːdoːlo,
hand,,,,,,,,jad,,,,,quɫ,,rəˈka,,,,ɦat̪,,ˈdɔʁn,,ˈma,,,,,ˈruka,,,ɬaːu̯,hɔnˀ,hant,,,əsɪ,ˈçeɾi,hænd,ˈmano,ˈmano,kæsi,,dæst,,ˈkæsi,,hɔnt,mɛ̃,,l̪ˠɑːvˠ,ɫ̪ãːv,,,,,,jad,ɦaːt̪ʰ,,,mɜ̃,ˈkeːz,d͡zɛrkʰ,,ˈma.no,taŋan,,,,,,hœnt,ˈmaːno,,,,χɛlɪ,,ɣuɔ̀kɔ́ꜜ,,qol,,ṭai,,sʰo̞n,,,,,,,ˈma.nus,hant,,,,mɯː˦˥,ɾɐŋˈkɐ,,ɾùoka,,,,,,ɢar,,taŋan,,lɛʔ,,han,,,,ɦɑnt,hɑnd,,,,ˈd͡za.ⁿd͡ʒa,ma,,,,,,,ˈrɛŋ.ka,lɑs,ˈmɐ̃w̃,,,,ˈmɨ.nə,rʊˈka,ikiɡaːnza,ɦɐ́s̪.t̪ɐ,,,,,,ˈruka,rɔ̀ːka,,,,dɔɹ,,,,,hand,,,,,mɯː˧,,,,,,el,,,,,,rʊˈkɑ,ɦat̪ʰ,,,taj˧˧,nam,,,ísáːⁿd̥ɮa̤,hant,,mɯ˧˩,,isáːnɮa,
wing,,,,,,,,d͡ʒa.naːħ,dɛu.ka,,,ɡɑˈnɑd,qɑˈnɑt,krɨˈɫo,kriˈlɔ,,,,,,ˈas.kɛl,,ˈa.lə,,,,,kr̝̊iːdlo,,,ˈadai̯n,,ˈflyːɡl̩,,,,,wɪŋ,fluɡˈilo,ˈala,,,bɒːl,,,,ˈvɔŋkʊɹ,ɛl,,ˈʃcɪhɑːn,,aː,,,ˈskiːən,,kaˈnaf,,,,z,ˈsaːrɲ,tʰɛv,,,,,,,,,ˈvaiŋkʏr,ˈala,,t͡sɨᵝba̠sa̠,,pʰrtʰɑ,,,,qɑˈnɑt,,s̥lāp,,na̠ɭɡe̞,,,,,,,ˈaː.la,,,,,,,,spàːɾns,,,,,,,,,ˈd͡ʒwɪːnɐħ,ʔətàʊɴ,,,,,,,,,,,ˈpʰi.ko,,,,,,,,ˈskʂɨ.dwɔ,,ˈa.zɐ,,,,,krɨˈlo,,,,,ˈsoɑ̯ɟɟiː,,,ˈkriːdɫɔ,ˈkrìːlɔ,,,,kɾa,,,,,ˈvɪŋˌɛ,,,rekːa,bɔːl,piːk̚˨˩,,,,,,,,,,,,,,,,kajŋ̟˧˦,fli.ˈtɛm,,,,,,fɯːt˧,,íːpʰiːɠo,
belly,,,,,,,,ba.tˁa.na,pɛt,,,,,,koˈrɛm,,,,,,ˈkofː,,ˈbuk,,,,,ˈbr̝ɪxo,,,,,baʊ̯x,,,,,bɛli,ˈventro,bäˈriɣä,kˈɤht,,ʃeˈkʲæm,,ˈmɑhɑ,,,vɑ̃tʁ,,ˈbˠɔlˠəɡ,,banˈduʎo̝,,,,,,peːʈ,,,,ˈhɒʃ,pʰɔɾ,,,,,,,,,ˈmaːjɪ,ˈpan.t͡ʃa,,wi,,mutsɛli,,ⁿdàꜜ,,,,k̥rbḥ,,pe̞,,,,,,,abˈdoː.men,,,,,,,,,,,ˈpʉːkʉː,mɛf,,,,pərot,zɐʔ,baɪʔ,,,,,,bœy̯k,,,,,ˈmí.ᵐba,,,,,,,,bʐux,nas,bɐ.ˈʁi.ɡɐ,,,,,ʐɨˈvot,,,,,,,,ˈbruxɔ,ˈtrèːbux,,,,,,,,,²mɑːɡɛ,,,poʈːa,ʃikæm,tʰɔːŋ˦˥,,,,,,,,,,,,,,,,ʔɓʊwŋ͡m˧˨ʔ,bɛˈlid,,,,bɔɪχ,,,,isíːsu,
guts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ˈaɪ̯nɡəvaɪ̯də,,,,,ɡʌts,,,,,,,,,,ɑ̃t.ʁaj,,ˈɪn̠ʲiː,,,,,,,,,,,,ˈbeːl,pʰoɾoˈtikʰ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ˈt͡srɛva,,,,,,ʔù,,,,,,,,,,,,,,,,,,,,,,,,,,kʲɪʂˈkʲi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neck,,,,,,,,,di.ŋi,,,,mu.ˈjɯ̞n,,ˈʃijə,,,,,,,,ˈkɔʎ,,,,,kr̩k,,,ɡʊðv,hals,hals,,,,,nɛk,ˈkolo,ˈkweʎo,,,ɡærdæn,,ˈkɑu̯lɑ,,,ku,,ˈmˠɪnɑːl,,pesˈkoθo̝,,,,,,,,,,ˈɲɒk,viz,,,,,,,,,hauls,ˈkɔl.lo,,kɯ̟ᵝbʲi,,kʼisɛri,,,,,,k,,mo̞k̚,,,,,,,ˈkol.lum,,,,,,ˈkä̌ːklɐs̪,,,,,,vrat,,xut͡su,,lehe(r),,lɛ̀bɪ́ɴ,,,,,,,hɑls,,,,ˈkʰo.si,,,,,,,,ˈʂɨ.ja,,pɨʃ.ˈko.su,,,,ɡɨt,ˈʂɛjə,,ɡɽiː.ʋɑ́ː,,,,,,kr̩k,ˈʋráːt,,,,ˈcafə,,,,,,,,,ɡærdæn,kʰɔː˧,,,,,,,,,,,,ˈʃɪjɐ,,,,ko˧˩,,,,,haldz,,ho˧˩,,íntaːmo,
