,aa,ab,ae,af,ak,am,an,ar,as,av,ay,az,ba,be,bg,bh,bi,bm,bn,bo,br,bs,ca,ce,ch,co,cr,cs,cu,cv,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,ff,fi,fj,fo,fr,fy,ga,gd,gl,gn,gu,gv,ha,he,hi,ho,hr,ht,hu,hy,hz,ia,id,ie,ig,ii,ik,io,is,it,iu,ja,jv,ka,kg,ki,kj,kk,kl,km,kn,ko,kr,ks,ku,kv,kw,ky,la,lb,lg,li,ln,lo,lt,lu,lv,mg,mh,mi,mk,ml,mn,mr,ms,mt,my,na,nb,nd,ne,ng,nl,nn,no,nr,nv,ny,oc,oj,om,or,os,pa,pi,pl,ps,pt,qu,rm,rn,ro,ru,rw,sa,sc,sd,se,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tl,tn,to,tr,ts,tt,tw,ty,ug,uk,ur,uz,ve,vi,vo,wa,wo,xh,yi,yo,za,zh,zu,
back,,,,rœχ,,,,ðˁa.ha.ra,pi.tʰi,,,,ɑrˈqɑ,ˈsʲpʲina,ɡrɤp,,,,,,ˈkɛjn,,əsˈkə.nə,,,,,ˈzaːda,,,,,ˈʁʏkn̩,,,ˈdʒɪmɛ,,bæk,ˈdorso,esˈpal.da,,,pʰoʃt̪ʰ,,ˈse̞lkæ,,,do,rɛːx,d̪ˠɾˠiːmʲ,kʰuːɫ̪,ˈlombo̝,,,d̪riːm,,,piːʈʰ,,,,ˈhaːt,mɛt͡ʃʰkʰ,,,,,,,,ˈdorso,paːk,ˈskjɛna,,,,zurɡi,,,,,,k̥ʰnṅ,,tɯŋ,,,,,,,ˈdor.sum,ʀek,,,,laŋ˩˧,ˈn̪ʊɡɐrɐ,,,,,,ɡr̩p,,,,bəlakaŋ,,t͡ɕɔ́,,,,,,rʏx,,,,,mˈsá.na,,,,,,,,ˈplɛ.t͡sɨ,,ˈkɔs.tas,,,,,spʲɪˈna,,,,,,,,ˈxr̩baːt,ˈxərbət,,,,ʃpiːn,,,,,rʏɡ,,,,puʃt,laŋ˩˩˦,,,,,,,,,,,,,,,,lɨŋ˧˧,bɛk,,,,,,,,uḿ̩ɬaːné,
breast,,,,bɔ(ː)rs,,,,,,,,,im.ˈsæk,,ɡərˈda,,,,,,,,ˈpit,,,,,pr̩s,,,brɔn,brøst,bʁʊst,,,no,ˈstiθos,bɹɛst,ˈmamo,ˈpet͡ʃo,,,pʰesˈt̪ʰɒːn,,ˈrin̪t̪ɑ,,brœst,sɛ̃,,,kʰʲiəx,,,,,,ʃad,,,,,ˈmɛlː,kuɾt͡skʰ,,,,,,,,ˈmamo,prjoust,,,mɯ̟ᵝna̠,,dzudzu,,,,,,ṭoḥ,,juba̠ŋ,,,,,,,ˈmam.ma,,,,,tuː˥˦,,,,,,,ˈɡrada,,,,,,no̰,,,,,,bɔrst,,,,,ˈɓé.ɽe,,,,,,,,pʲɛrɕ,,ˈsɐj.u,,,,pjept,ɡrutʲ,,,,,ˈt͡ʃidːd͡ʒiː,,,ˈpr̩sɲiːk,,,,,,,,,,,,,t͡ʃan̪ːu,,taː˥˩.nom˧,,,,,,,,,,,,,pɪst̪an,,,vu˧˦,,,,íɓéːle,,,,,îːɓéːle,
heart,,,,,,l̪əbb,,qalb,dil,,,ɡælb,jʏ̞.ˈræk,ˈsert͡sa,sərˈt͡sɛ,,,,,*zȵiŋ,ˈkalɔ̃n,,ˈkɔr,,,,,ˈsr̩t͡sɛ,,,ˈkalɔn,jɛrtə,hɛʁts,,,,karˈðʝa,hɑːt,ˈkoro,koɾaˈθon,,,del,,ˈsydæn,,ˈjaɹ̥ʈa,kœʁ,hɛt,kɾˠiː,,,,,kriː,,,d̪ɪl,,,,ˈsiːv,siɾt,,,d͡ʒan.tʊŋ,,,,,kor.di.o,ˈçar̥ta,ˈkwɔːre,,ɕĩnd͡zo̞ː,,ɡuli,,,,,,peḥṭūṅ,,,,,,,,,kor,,,,,tɕai˩˨,ʃʲɪrʲˈdʲɪs,,sîɾts,,,,ˈsr̩t͡sɛ,,,,d͡ʒantoŋ,ˈʔɐlp,n̥əlóʊɴ,,,,,,ɦɑrt,²jɑrtə,,,,mˈtí.ma,kɔr,,,,,d̪ɪl,,ˈsɛr.t͡sɛ,zɻə,ko.ɾa.ˈsɐ̃w̃,,,,ˈinimə,ˈsʲert͡sə,,ɦŕ̩.d̪ɐ.jɐ,,,ˈvaːjːpmuː,,,sr̩tsɛ,sərˈtséː,,,,ˈzɛməɾ,,,,,ˈjɛrˌta,,,,dil,hua̯˩˩˦.t͡ɕaj˧,,,,,,jyˈɾɛc,,,,,,ˈsɛrt͡se,,,,tim˧˧,,,,íⁿtɬízǐ̤ːjo,,,θim˨˦,,ínɬizíːjo,
liver,,,,,,,,kab.ba.da,,,,,bɑˈwɯ̞r,ˈpʲet͡ʂanʲ,ˈtʃɛrɛn drɔp,,,,,,ˈɑːvy,,ˈfe.d͡ʒə,,,,,ˈjaːtra,,,ˈavɨ̞,leːvər,ˈleːbɐ,,,,,lɪvə(ɹ),heˈpato,ˈiɡado,,,dʒeɡæɾ,,ˈmɑksɑ,,ˈliːvʊɹ,fwa,,eː,,,,,eːn,,,,,,,ˈmaːj,ljɑɾtʰ,,,ha.ti,,,,,,ˈlɪːvʏr,ˈfeɡato,,kã̠nd͡zo̞ː,,ɣvidzli,,,,,,t̥ʰloem,,ka̠nd͡ʑa̠ŋ,,,,,,,ˈje.kur,ˈliəvɐ,,,,tap˦˥,,,aknas,,,,ˈd͡ʒiɡɛr,,iɮəɡ,,hati,,ʔəθɛ́,,,,,,ˈleːvər,ˈleːʋɛr,,,,t͡ʃíˈw⁽ᵝ⁾i.ⁿdi,,,,,,,,vɔnˈtrɔ.ba,,ˈfi.ɡɐ.du,,,,,ˈpʲet͡ɕɪnʲ,,jɐ́.kr̩t̪,,,,,,ˈpɛtʃɛɲ,ˈjèːtra,,,,,,,,,,,,,dʒiɡær,tap̚˨˩,,,,sɪˈbe.tɪ,,kaɾadʒiːeɾ,,,,,,,,,,ɣaːn˧˧,,,,,,,tap˥,,ísiɓîːndi,
drink,,,,,,,,ʃa.ri.ba,,,,itʃmæc,,,ˈpijə,,,,,*ⁿtʰuŋ,ˈe.vɑ̃,,ˈbəw.ɾə,,,,,piːt,,,ˈəvɛd,drekə,ˈtʁɪŋkən,,,,ˈpi.no,dɹɪŋk,ˈtrinki,beˈβeɾ,,,nuːʃiːˈdæn,,ˈjuo̯dɑˣ,,ˈtɾɛʰkːa,bwaʁ,ˈdrɪŋkə,oːl̪ˠ,ɔːɫ̪,,,,,,ʃaˈta,piːn̪ɑː,,,,ˈisik,χəˈmɛl,,,,,,,,drinˈkar,ˈtrɛhka,ˈbe.re,,no̞mɯ̟ᵝ,,smɑ,,,,,,pʰẏk,,ma̠ɕʰida̠,,,ˈvɛxwɑːɾɯn,,,,ˈbi.boː,ˈdʀeŋken,,,,dɯːm˦˦,ˈɡʲɛrʲ.tʲɪ,,dzɛɾ̂t,,,,ˈpi.ɛ,,,,minom,ˈʃɔrɔp,θaʊʔ,,,,,,ˈdrɪŋkə(n),,,,,,ˈbewre,,,,,,,pʲit͡ɕ,,be.ˈbeɾ,,,,be̯a,pʲitʲ,,pí.bɐ.t̪i,,,ˈjuhkah(t),,,ˈpic,ˈpiːti,,,,pi,,,,,drɪkːa,,,,nɵʃidæn,dɯːm˨˩,,,,,,it͡ʃˈmɛ́c,,,,,,,,,,ʔuəŋ˧˦,,,,,,,,,,
eat,,,,,,,,,,,,jeˈmæk,,,,,,,,,,,məɲˈʒa,,,,,jiːst,,,,spiːsə,ˈʔɛsn̩,,,,ˈtro̞o̞,iːt,,koˈmeɾ,,,,,ˈsyø̯dæˣ,,,mɑ̃.ʒe,,ɪ,,,,,,,,,,,,,uˈtɛl,,,,,,,,,,manˈdʒa.re,,,,,,,,,,,,ɕʰiks͈a̠ɦa̠da̠,,,ˈxwɑːɾɯn,,,,,ˈie̯sen,,,,kin˩˧ kʰau˨˩,,,,,,,ˈjadɛ,,,,,,,,,,,,,,,,,,,,,,,,,,,ko.ˈme(ʁ),,,,luˈa,jesʲtʲ,,,,,,,,,,,,,,,,,,ˈɛːˌta,,,,,kin˧.kʰaːw˥˩,,,,,,,,,,,,,,,,ʔan˧˧ kəːm˧˧,,,,,,,,,ɮá,
bite,,,,,,,,ʕadˁ.dˁa,,,,,,kuˈsat͡sʲ,ot̪ˈxapvəm,,,,,,,,mo.səˈɡa,,,,,ˈkou̯sat,,,knɔj,biːdə,ˈbaɪ̯sn̩,,,,ðaŋˈɡono,baɪt,ˈmordi,,,,,,ˈpurːɑˣ,,,mɔʁdʁ,,,,,,,,,,,,,,ˈhɒrɒp,kəˈtsɛl,,,,,,,,morˈdar,ˈpiːta,ˈmɔrdere,,ka̠mɯ̟ᵝ,,,,,,,,kʰāṃ,,muɾʌ̹t͈e̞da̠,,,,,,,ˈmor.de.oː,ˈbæi̯sen,,,,,,,kuôst,,,,ɔdˈɡrizuva,,xat͡səx,,ɡiɡet,,kaɪʔ,,,,,,ˈbɛi̯tə(n),,,,,,,,,,,,,,,muɾˈðeɾ,,,,muʃˈka,ɐtˈkusɨvətʲ,,,,,,,,,,,,,kafˈʃɔj,,,,,,,,,ɡæzidæn,kat̚˨˩,,,,,,,,,,,,,,,,kan˧˦,,,,,,,,,lûːma,
suck,,,,,,,,masˁ.sˁa,,,,,,smaktat͡sʲ,,,,,tʃoʃɑ,,,,ʃuˈkla,,,,,,,,,,ˈzaʊ̯ɡən,,,ˈɲɪ,,sʌk,ˈsutʃi,t͡ʃuˈpaɾ,,,mækʲiːˈdæn,,ˈimeæˣ,,,sy.se,,sˠuːɟ,ˈtʲo.al,t͡ʃuˈt͡ʃaɾ,,,,,,,,,,ˈsopik,t͡səˈt͡sɛl,,,,,,,,suˈɡar,ˈsjuːa,,,,,tsʼɔvɑ,,,,,,jp´,,p͈a̠ɭda̠,,,ˈmeːʒiːn,,,,ˈsuː.ɡoː,,,,,,ˈtʲʃʲʊlʲpʲtʲɪ,,sùːkt,,,,ˈt͡sit͡sa,,xɵxəx,,hisap,,soʊʔ,,,,,,ˈzœy̯.ɣə(n),,,,,,,,,,,,,ssat͡ɕ,,,,,,ˈsu.d͡ʒe,sɐˈsatʲ,,,,,,,,,,,,,θiθ,,,,,,,,,mækidæn,duːt̚˨˩,,,,,,ɛˈmːɛc,,,,,,,,,,ʔɓu˧˦,,,,,,,,,,
spit,,,,,,,,ba.sˁa.qa,tʰu pɛ.lʊa,,,,,,,,,,,,,,,,,,,ˈplɪvnou̯t,,,,spøtɘ,ˈʃpʊkŋ̩,,,,ˈfti.nɔ,spɪt,,eskuˈpiɾ,,,,,,,,kʁa.ʃe,,,,kusˈpiɾ,,,,,,t̪ʰuːk.nɑː,,,,ˈkøp,tʰəˈkʰɛl,,,,,,,,,ˈr̥aiːca,spuˈtare,,t͡sɨᵝba̠,,,,,,,,,,,,,,,,,ˈspu.oː,,,,,,,,spʎāwt,,,,ˈpɫuka,,,,ludah,,tʰwé,,,,,,,,,,,,,,,,,,,plut͡ɕ,,kuʃ.ˈpiɾ,,,,,plʲɪˈvatʲ,,,,,,,,ˈpʎuc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ɲo˧˩,,,,,,,,,,
vomit,,,,,,,,ta.qaj.ja.ʔa,bɔ.mi kɔ.ɹa,,,ɡusˈmɑχ,,,,,,,,,,,vo.miˈta,,,,,,,,,,ˌyːbɐˈɡeːbən,,,,,ˈvɒmɪt,ˈvomi,,,,,,ˈoksentɑːˣ,,,vɔ.miʁ,,ˈaʃɪɟ,,,,,,,,,,,,ˈhaːɲ,,,,,,,,,,ˈaiːla,vomiˈtare,,,,,,,,,,k̥ʾuat,,ke̞uda̠,,,,,,,ˈwo.moː,ˈkɑtsən,,,,,,,,,,,ˈpɔvraca,,,,muntah,,ʔàɴ,,,,,,,,,,,,,,,,,,,vɨ.mʲɔˈtɔ.vat͡ɕ,,vu.mi.ˈtaɾ,,,,,blʲɪˈvatʲ,,,,,,,,,,,,,,,,,,,,,,,ʔaː˧.t͡ɕia̯n˧,,,,,,,,,,,,,,,,non˧˧,,,,,,,,,,
blow,,,,,,,,na.fa.xa,,,,,,,,,,,,,,,buˈfa,,,,,ˈvaːt,,,ˈχwəθɨ̞,blɛːsə,ˈblaːzn̩,,,,,bləʊ,ˈblovi,,,,,,,,,su.fle,,ʃeːdʲ,,,,,,,,,,,,ˈfuːj,pʰəˈt͡ʃʰɛl,,,,,,,,sufˈlar,,sofˈfjare,,ɸɯ̟ᵝkɯ̟ᵝ,,ubɛrɑvs,,,,,,pk´,,ˈpuːɭda̠,,,,,,,floː,,,,,,ˈpǔːsʲtʲɪ,,,,,,ˈduva,,uɮex,,,,m̥oʊʔ,,,,,,ˈblaːzə(n),,,,,,,,,,,,,ˈdmu.xat͡ɕ,,suˈpɾaɾ,,,,,dutʲ,,,,,,,,,,,,,,,,,,,,,,,pʰat̚˦˥,,,,,,,,,,,,,,,,tʰoj˧˩,,,,,,,,,,
breathe,,,,,,,,ta.naf.fa.sa,,,,,,,,,,,,,,,rəs.piˈɾa,,,,,ˈdiːxat,,,anˈadlɨ̞,ɔnə,ˈaːtmən,,,,a.naˈpne.o,bɹiːð,ˈspiri,,,,,,ˈheŋːitːæːˣ,,,ʁɛs.pi.ʁe,,,,,,,,,,,,,,ˈleːlɛɡzik,ʃənˈt͡ʃʰɛl,,,,,,,,,ˈanta,respiˈrare,,ko̞kʲɨᵝː,,,,,,,,ṭkṭṅ̥hoem,,sʰumʃʰɥida̠,,,,,,,ˈspiː.roː,ˈoːtmən,,,,,,,,,,,,,amʲsɢəɮəx,,bə(r)nafas,,ʃù,,,,,,ˈaːdəmə(n),,,,,,,,,,,,,ɔdˈdɨ.xat͡ɕ,,ʁɨʃ.pi.ˈɾaɾ,,,,,dɨˈʂatʲ,,,,,,,,ˈdiːxac,,,,,,,,,,,,,,,haːj˩˩˦.t͡ɕaj˧,,,,,,,,,,,,,,,,tʰəː˧˩,,,,,,,,,,
laugh,,,,ɫɐχ,,,,dˁa.ħik,ɦɔɦa,,,ɡylmæc,,,,,,,,,,,ˈriw.ɾə,,,,,smaːt,,,,leː,ˈlaχn̩,,,,,laːf,,,,,xænd̪iːˈd̪æn,,ˈnɑu̯rɑːˣ,,,ʁiʁ,ˈlai̯tsjə,ɡɑːɾʲ,,,,,,,t͡saˈχak,ɦə̃s.nɑː,,,,ˈnɛvɛt,t͡sit͡sɑˈʁɛl,,,,,,,,,ˈl̥aiːja,ˈri.de.re,,ɰᵝa̠ɾa̠ɯ̟ᵝ,,,,,,,,soec,,ˈuːt̚t͈a̠,,,ˈkɛniːn,,,,ˈriː.de.oː,ˈlaːχən,,,,,,,,,,,sɛ ˈsmɛ.ɛ,,,,tawə,,jì,,,,,,ˈlɑxə(n),,,,,,,,,,,,,ɕmʲat͡ɕ ɕɛ,,ˈʁiɾ,,,,,smʲɪˈjat͡sːə,,,,,ˈt͡ʃajːpmah(t),,,ˈsmi̯ac sa,,,,,cɛʃ,,,,,,,,naʋːu,xændidæn,kʰam˩˩˦,,,,,,,,,,,,,,,,kɨəj˨˩,,,,,,,,,,
see,,,,,,,,ra.ʔaː,dɛkʰa,,,ɡœrˈmæk,,ˈbat͡ʂɨt͡sʲ,ˈviʒdəm,,,,ˈd̪ækʰa,*mtʰoŋ,,,ˈvəw.ɾə,,,,,ˈvɪɟɛt,,,ɡwɛld,seː,ˈzeː.ən,,,k͡pɒ,ˈvlepo,siː,ˈvidi,ˈbeɾ,,,d̪iːˈd̪æn,,ˈnæhdæˣ,,ˈsʊt͡ʃːa,vwaʁ,,fʲɛc,,,,,,,,d̪eːkʰ.nɑː,,,,ˈlaːt,tɛsˈnɛl,,viˈder,,,,,,vi.ˈdar,ˈsjauː,veˈde.re,,mʲiɾɯ̟ᵝ,,χɛdvɑ,,,,,,gʰoeñ,,po̞da̠,,,ˈdiːtɯn,,,,ˈwi.de.oː,ɡeˈzin,,,,hen˩˧,mɐˈtʲîːtʲɪ,,ɾɛdzɛ̂ːt,,,,ˈɡlɛda,,ut͡səx,,lihat,,twḛ,,,,,,zin,ʃoː,,,,,,,,,,,,ˈvʲi.d͡ʑɛt͡ɕ,,veɾ,,,,veˈde̯a,ˈvʲidʲɪtʲ,,pɐ́ɕ.jɐ.t̪i,,,ˈoɑ̯jːtniːh(t),,,ˈviɟi̯ɛc,ˈʋiːdɛti,,,,,,,,,seː,,,,diˈdan,hen˩˩˦,,,kiˈta,,,ɟœɾmɛc,,,,,,ˈbɑt͡ʃete,d̪ekʰnaː,,,ɲin˨˩ tʰəj˧˦,,,,,,,,,ɓoːná,
hear,,,,,,,,sa.mi.ʕa,xu.na,,,,,,ˈtʃuvəm,,,,ʃonɑ,,,,sənˈti,,,,,ˈslɪʃɛt,,,ˈkləu̯ɛd,høːrə,ˈhøːrən,,,,aˈkuo,hɪə(ɹ),ˈau̯di,oˈiɾ,,,ʃeniˈdæn,,ˈkuːlːɑˣ,,,ɑ̃.tɑ̃dʁ,ˈjɛ(ː)rə,klˠɔʃ,,ɔˈiɾ,,,,,ˈʃema,sʊn.nɑː,,,,ˈhɒlː,ləˈsɛl,,au̯ˈdir,də.ŋar,,,,,,ˈheiːra,,,kʲi̥kɯ̟ᵝ,,smɛnɑ,,,,,,ḹ,,tɯt̚t͈a̠,,,ˈbiːstɯn,,,,ˈau̯.di.oː,ˈhei̯ʀen,,,,,,,dzìɾdɛ̂ːt,,,,,,,,dəŋa(r),ˈsɐmɐ,t͡ɕá,,,,,,ˈɦoːrə(n),,,,,,,,,,,,,ˈswɨ.ʂɛt͡ɕ,awraˈwəl,owˈviɾ,,,,,ˈslɨʂətʲ,,,,,,,,,,,,,,,,,,,,,,ʃunidan,daːj˥˩.jin˧,,,,,,,,,,,,ˈt͡ʃute,,,,ŋɛ˧˧,,,,,,,,,,
know,,,,vɪət,,,,ʕa.li.ma,,,,bilˈmæk,,ˈvʲedat͡sʲ,,,,,,*ɕes,,,səˈbə,,,,,ˈvjɛɟɛt,,,ˈmɛdrɨ̞,,ˈvɪsn̩,,,,ˈksɛ.ɾɔ,nəʊ,ˈst͡sii,saˈbeɾ,,,d̪ɒːnesˈt̪ʰæn,,ˈtie̯tæːˣ,,,savwaʁ,,,,,,,,,ˈjeda,ˈd͡ʒɑːn̪.n̪ɑː,,,,ˈtud,ɡitɛˈnɑl,,,ta.hu,,,,,,ˈvɪːta,saˈpeː.re,,,,tsɔdnɑ,,,,,,cer,,ˈa̠ːɭda̠,,,ˈzɑːniːn,,,,ˈski.oː,,,,,huː˥˧,ʒɪˈnoː.tʲɪ,,zinâːt,,,,,,mitəx,,tahu,,θḭʃḭ,,,,,,ˈʋeːtə(n),,,,,,,,,,,,,ˈvʲɛ.d͡ʑɛt͡ɕ,poˈheˈdəl,sɐ.ˈbeɾ,,,,ʃti,znatʲ,,,isˈki.ɾe,,,,,ˈvɛɟi̯ɛc,,,,,di,,,,,veːta,,,,dɔːnistæn,ruː˦˥,,,,,,bilˈmɛ́c,,,,,,ˈznɑte,dʒanːa,,,ʔɓiət̚˧˦,,,,,vɪsn̩,,ɣo˦˨,,,
think,,,,dəŋk,,,,,bʱɔ.ba,,,dyʃynˈmæk,,,,,,,,,,,pənˈsa,,,,,ˈpr̝̊ɛmiːʃlɛt,,,ˈmɛðʊl,,ˈdɛŋkən,,,,ˈsceftome,θɪŋk,,penˈsaɾ,,,ˌfekɾ kʲæɾˈd̪æn,,ˈɑjɑtelːɑˣ,,,pɑ̃.se,,capˠ,,,,,,,ħaˈʃav,sotʃn̪aː,,,,ˈɡondolkodik,mətɑˈt͡sɛl,,,pi.kir,,,,,,ˈhʏxsa,,,kamukapu,,pʰikʰri,,,,,,yl´,,sʰe̞ŋɡa̠kʰa̠da̠,,,ˈfɯkɯɾiːn,,,,ˈkoː.ɡi.toː,,,,,,,,,,,,,,,,fike(r),ˈħaːsɛp,twé,,,,,,ˈdɛŋkə(n),,,,,ɡaˈni.za,,,,,,,,ˈmɨɕ.lɛt͡ɕ,,pẽˈsaɾ,,,,ɡɨnˈdi,ˈdumətʲ,,,,,ˈjurːttaʃih(t),,,ˈmisli̯ɛc,ˈmiːsliti,,,,mɛnˈdɔj,,,,,,,,,,kʰit̚˦˥,,,,,,,,,,,,ˈdumɐte,sotʃn̪aː,,,ŋi˦ˀ˥,,,,,,,,,,
smell,,,,,,,,,,,,ɡɔxu,jɪ̞θ,pax,,,,,,,,,oˈlo,,,,,ˈvuːɲɛ,,,,loɡt,ɡəˈʁʊχ,,,,miɾoˈðʝa,smɛl,oˈdoro,,,,,,ˈhɑju,,,ɔ.dœʁ,,,,,,,,,ˈʁe.aχ,ɡənd̪ʱ,,,,ˈsɒɡ,hɔt,,,,,,,,,lɪxt,oˈdo.re,,ɲ̟io̞i,,suni,,,,,,k̥lin,,ˈne̞ːmsʰe̞,,,,,,,ˈo.dor,,,,,,,,,,,,,,,,bau,,ʔəna̰ɴ,,,,,,ɣøːr,,,,,,,,,,,,,ˈza.pax,buj,ˈʃɐj.ɾu,,,,,ˈzapəx,,,,,,,,,,,,,ɛːɹ,,,,,,,,,,klin˨˩,,,,,,koˈku,,,,,,,,,,muj˨˩,,,,,,,,,,
fear,,,,frɪəs,,,,xawf,bʱɔe,,,ɡorˈχu,,,,,,,,,ɔ̃n,,ˈpo,,,,,ˈstrax,,,,,ʔaŋst,,,,,fɪə,ˈtimo,ˈmjedo,,,,,ˈpe̞lko̞,,,pœʁ,,ˈaɡlˠə,,,,,,,,,,,,ˈfeːlɛlɛm,vɑχ,,,ta.kut,,,,,,ˈr̥aiðstla,paˈu.ra,,,,zɑri,,,,,,,,ˈko̞ːŋpʰo̞,,,,,,,ˈpa.wor,aŋʃt,,,,,,,bâjlɛs,,,,,,,,,,bəjà,,,,,,ɑŋst,,,,,,,,,,,,,strax,,ˈme.du,,,,ˈfrikə,strax,,bʱɐ.jɐ́,,,,,,strax,ˈstráːx,,,,ˈfɾik(ə),,,,,,,,,,klua̯˧,,,,,,,,,,,,,,,,,dred,,,,,,,,,
sleep,,,,,,,,naː.ma,xʊa,,,jɑtˈmɑχ,,,spʲɤ,,,,,,,,duɾˈmi,,,,,spaːt,,,ˈkəsɡɨ̞,,ˈʃlaːfn̩,,,,ciˈmame,sliːp,ˈdormi,dorˈmiɾ,,,xɒːbiˈdæn,,ˈnukːuɑˣ,,,dɔʁ.miʁ,,ˈkɔd̪ˠɪlʲ,,,,,,,,soː.nɑː,,,,ˈɒlsik,kʰəˈnɛl,,,ti.dur,,,,,dorˈmar,ˈsɔːva,dorˈmire,,,,dzili,,,,,,ṭek,,t͡ɕa̠da̠,,,,,,,ˈdor.mi.oː,ˈʃloːfən,,ˈslɔː.pə,,nɔːn˦˥,,,ɡulɛ̂ːt,,,,,,,,tido(r),ˈraːʔɐt,ʔeɪʔ,,,,,,ˈslaː.pə(n),,,,,,,,,,,,,spat͡ɕ,,duɾ.ˈmiɾ,,,,dorˈmi,spatʲ,,s̪ʋɐ́.pi.t̪i,,,ˈoɑ̯ððiːh(t),,,ˈspac,ˈspaːti,,,,,,,,,soːva,,,,xɔːbiˈdæn,nɔːn˧,,,ma.ˈtu.loɡ,,,,,,,,,,,,,ŋu˧˩,,,,,,,,,,
live,,,,,,,,ʕaː.ʃa,,,,,,,ʒiˈvɛjə,,,,,,,,ˈviw.ɾə,,,,,ʒiːt,,,bɪu̯,leːvə,ˈleːbən,,,,ˈzo,lɪv,ˈvivi,biˈbiɾ,,,,,ˈe̞læː(ʔ),,,vivʁ,ˈlɪbjə,mˠaɾʲ,,,,,,,,d͡ʒina,,,,ˈeːl,ɑpˈɾɛl,,,hi.dup,,,,,,ˈlɪːva,ˈvi.ve.re,,ikʲiɾɯ̟ᵝ,,sitsɔtsxlɛ,,,,,,nau,,ˈsʰa̠ːɭda̠,,,,,,,ˈwiː.woː,ˈliə̯vən,,,,,ɡiˈʋæntɪ,,dzîːvuôt,,,,,,,,hidop,ɛˁːʃ,,,,,,,ˈleːvə(n),,,,,,,,,,,,,ʐɨt͡ɕ,,viˈveɾ,,,,trəˈi,ʐɨtʲ,,d͡ʑíː.ʋɐ.t̪i,,,ˈea̯lliːh(t),,,ˈʒic,ʒiˈʋeːti,,,,jɛˈtɔj,,,,,leːva,,,,,miː˧.t͡ɕʰiː˧.wit̚˦˥,,,ma.ˈbu.hay,,,,,,,,,,,,,səwŋ͡m˧˦,,,,,,,,,,
die,,,,,,,,ˈmaːta,mɔɹ,,,œlˈmæk,,,oˈmiɾəm,,,,,,,,muˈɾi,,,,,ˈumr̝iːt,,,,dø,ˈʃtɛʁbən,,,,peˈθeno,daɪ,,,,,moɾˈd̪æn,,ˈkuo̯lːɑˣ,,,mu.ʁiʁ,,,,,,,,,,məɾ.nɑː,,,,ˈmɛkhɒl,mɛrˈnɛl,,,,,,,,mɔrˈtar,ˈteiːja,moˈrire,,ɕinɯ̟ᵝ,,,,,,,,tāy,,t͡ɕuk̚t͈a̠,,,,,,,ˈmo.ri.or,,,,,taːj˩˧,ˈmʲɪrʲ.tʲɪ,,mīɾt,,,,,,,,mati,mɪːt,θè,,,,,,ˈdoːtxaːn,,,,,,,,,,,,,uˈmʲɛ.rat͡ɕ,,mu.ˈʁeɾ,,,,muˈri,ʊmʲɪˈratʲ,,mɐ́.ɽɐ.t̪i,,,ˈjaːpmiːh(t),,,ˈumri̯ɛc,,,,,vdɛs,,,,,,,,,murdæn,taːj˧,,,,,,œlˈmɛc,,,,,,,mərna,,,t͡ɕet̚˧˦,de.a.ˈdøn,,,,,,taːi˨˦,,fá,
kill,,,,,,,,qa.ta.la,,,,œldyrˈmæk,,,oˈbivəm,,,,,*ksot,,,məˈta,,,,,ˈzabiːt,,,ɬaːð,,ˈtøːtən,,,,skoˈtono,kɪl,mortˈiɡi,maˈtaɾ,,,kʰoʃˈt̪ʰæn,,ˈtɑpːɑːˣ,,,ty.e,,ˈmˠaɾˠə,maɾav,,,,,,,mɑːɾ‿ɖɑːl.nɑː,,,,ˈøl,spɑˈnɛl,,,məmbunʊh,,,,,mɔr.ti.ˈɡar,ˈtrɛːpa,utˈt͡ʃi.de.re,,ko̞ɾo̞sɨᵝ,,kʼvlɑ,,,,,,sm̥lāp´,,t͡ɕuɡida̠,,,,,,,ˈok.ki.doː,,,,,kʰaː˨˩,,,nâːvɛ̂ːt,,,,ˈubiva,,,,məmbunoh,ˈʔaːtɛl,θaʔ,,,,,,ˈdoːdə(n),,,,,,,,,,,,,zaˈbʲi.jat͡ɕ,,ma.ˈta(ʁ),,,,omoˈrɨ,ʊbʲɪˈvatʲ,,ɦɐ́n̪.t̪i,,,ˈkodːdiːh(t),,,ˈzabic,uˈbìːti,,,,,,,,,ˈdøːda,,,,kuʃtæn,kʰaː˥˩,,,,,,,,,,,,,marna,,,ziət̚˧˦,de.i.ˈdøn,,,,ˈtɛjtn̩,,,,,
